# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.469600E-01  1.514844E+06
3.487000E-01  1.527064E+06
3.504300E-01  1.539390E+06
3.521700E-01  1.551716E+06
3.539000E-01  1.564041E+06
3.556400E-01  1.576367E+06
3.573700E-01  1.588746E+06
3.591000E-01  1.601177E+06
3.608400E-01  1.613556E+06
3.625700E-01  1.625987E+06
3.643100E-01  1.638419E+06
3.660400E-01  1.650850E+06
3.677800E-01  1.663335E+06
3.695100E-01  1.675819E+06
3.712500E-01  1.688356E+06
3.729800E-01  1.700894E+06
3.747200E-01  1.713431E+06
3.764500E-01  1.726021E+06
3.781900E-01  1.738558E+06
3.799200E-01  1.751149E+06
3.816600E-01  1.763739E+06
3.833900E-01  1.776329E+06
3.851300E-01  1.788972E+06
3.868600E-01  1.801615E+06
3.886000E-01  1.814258E+06
3.903300E-01  1.826954E+06
3.920700E-01  1.839650E+06
3.938000E-01  1.852346E+06
3.955300E-01  1.865042E+06
3.972700E-01  1.877738E+06
3.990000E-01  1.890434E+06
4.007400E-01  1.903183E+06
4.024700E-01  1.915932E+06
4.042100E-01  1.928681E+06
4.059400E-01  1.941483E+06
4.076800E-01  1.954232E+06
4.094100E-01  1.966981E+06
4.111500E-01  1.979783E+06
4.128800E-01  1.992584E+06
4.146200E-01  2.005386E+06
4.163500E-01  2.018188E+06
4.180900E-01  2.030990E+06
4.198200E-01  2.043844E+06
4.215600E-01  2.056699E+06
4.232900E-01  2.069501E+06
4.250300E-01  2.082356E+06
4.267600E-01  2.095210E+06
4.284900E-01  2.108065E+06
4.302300E-01  2.120920E+06
4.319600E-01  2.133774E+06
4.337000E-01  2.146682E+06
4.354300E-01  2.159537E+06
4.371700E-01  2.172391E+06
4.389000E-01  2.185299E+06
4.406400E-01  2.198154E+06
4.423700E-01  2.211061E+06
4.441100E-01  2.223916E+06
4.458400E-01  2.236824E+06
4.475800E-01  2.249678E+06
4.493100E-01  2.262586E+06
4.510500E-01  2.275494E+06
4.527800E-01  2.288401E+06
4.545200E-01  2.301256E+06
4.562500E-01  2.314163E+06
4.579900E-01  2.327071E+06
4.597200E-01  2.339979E+06
4.614600E-01  2.352833E+06
4.631900E-01  2.365741E+06
4.649200E-01  2.378648E+06
4.666600E-01  2.391556E+06
4.683900E-01  2.404411E+06
4.701300E-01  2.417318E+06
4.718600E-01  2.430173E+06
4.736000E-01  2.443081E+06
4.753300E-01  2.455935E+06
4.770700E-01  2.468790E+06
4.788000E-01  2.481645E+06
4.805400E-01  2.494552E+06
4.822700E-01  2.507407E+06
4.840100E-01  2.520262E+06
4.857400E-01  2.533116E+06
4.874800E-01  2.545971E+06
4.892100E-01  2.558773E+06
4.909500E-01  2.571628E+06
4.926800E-01  2.584482E+06
4.944200E-01  2.597337E+06
4.961500E-01  2.610139E+06
4.978900E-01  2.622941E+06
4.996200E-01  2.635742E+06
5.013500E-01  2.648544E+06
5.030900E-01  2.661293E+06
5.048200E-01  2.674095E+06
5.065600E-01  2.686844E+06
5.082900E-01  2.699646E+06
5.100300E-01  2.712395E+06
5.117600E-01  2.725144E+06
5.135000E-01  2.737839E+06
5.152300E-01  2.750588E+06
5.169700E-01  2.763284E+06
5.187000E-01  2.775980E+06
5.204400E-01  2.788729E+06
5.221700E-01  2.801425E+06
5.239100E-01  2.814068E+06
5.256400E-01  2.826712E+06
5.273800E-01  2.839407E+06
5.291100E-01  2.852051E+06
5.308500E-01  2.864641E+06
5.325800E-01  2.877231E+06
5.343100E-01  2.889874E+06
5.360500E-01  2.902464E+06
5.377800E-01  2.915002E+06
5.395200E-01  2.927539E+06
5.412500E-01  2.940129E+06
5.429900E-01  2.952666E+06
5.447200E-01  2.965151E+06
5.464600E-01  2.977635E+06
5.481900E-01  2.990172E+06
5.499300E-01  3.002657E+06
5.516600E-01  3.015088E+06
5.534000E-01  3.027520E+06
5.551300E-01  3.039951E+06
5.568700E-01  3.052383E+06
5.586000E-01  3.064762E+06
5.603400E-01  3.077140E+06
5.620700E-01  3.089466E+06
5.638100E-01  3.101844E+06
5.655400E-01  3.114170E+06
5.672800E-01  3.126496E+06
5.690100E-01  3.138769E+06
5.707400E-01  3.150988E+06
5.724800E-01  3.163261E+06
5.742100E-01  3.175534E+06
5.759500E-01  3.187701E+06
5.776800E-01  3.199921E+06
5.794200E-01  3.212088E+06
5.811500E-01  3.224255E+06
5.828900E-01  3.236369E+06
5.846200E-01  3.248483E+06
5.863600E-01  3.260597E+06
5.880900E-01  3.272658E+06
5.898300E-01  3.284720E+06
5.915600E-01  3.296728E+06
5.933000E-01  3.308736E+06
5.950300E-01  3.320745E+06
5.967700E-01  3.332700E+06
5.985000E-01  3.344655E+06
6.002400E-01  3.356558E+06
6.019700E-01  3.368460E+06
6.037100E-01  3.380310E+06
6.054400E-01  3.392212E+06
6.071700E-01  3.404009E+06
6.089100E-01  3.415806E+06
6.106400E-01  3.427603E+06
6.123800E-01  3.439346E+06
6.141100E-01  3.451090E+06
6.158500E-01  3.462834E+06
6.175800E-01  3.474472E+06
6.193200E-01  3.486110E+06
6.210500E-01  3.497748E+06
6.227900E-01  3.509386E+06
6.245200E-01  3.520971E+06
6.262600E-01  3.532503E+06
6.279900E-01  3.544036E+06
6.297300E-01  3.555568E+06
6.314600E-01  3.567047E+06
6.332000E-01  3.578473E+06
6.349300E-01  3.589900E+06
6.366700E-01  3.601273E+06
6.384000E-01  3.612647E+06
6.401300E-01  3.623967E+06
6.418700E-01  3.635288E+06
6.436000E-01  3.646609E+06
6.453400E-01  3.657823E+06
6.470700E-01  3.669091E+06
6.488100E-01  3.680253E+06
6.505400E-01  3.691468E+06
6.522800E-01  3.702577E+06
6.540100E-01  3.713686E+06
6.557500E-01  3.724742E+06
6.574800E-01  3.735798E+06
6.592200E-01  3.746801E+06
6.609500E-01  3.757804E+06
6.626900E-01  3.768755E+06
6.644200E-01  3.779652E+06
6.661600E-01  3.790550E+06
6.678900E-01  3.801447E+06
6.696300E-01  3.812291E+06
6.713600E-01  3.823083E+06
6.731000E-01  3.833822E+06
6.748300E-01  3.844560E+06
6.765600E-01  3.855246E+06
6.783000E-01  3.865932E+06
6.800300E-01  3.876565E+06
6.817700E-01  3.887198E+06
6.835000E-01  3.897778E+06
6.852400E-01  3.908305E+06
6.869700E-01  3.918832E+06
6.887100E-01  3.929306E+06
6.904400E-01  3.939728E+06
6.921800E-01  3.950096E+06
6.939100E-01  3.960464E+06
6.956500E-01  3.970833E+06
6.973800E-01  3.981095E+06
6.991200E-01  3.991358E+06
7.008500E-01  4.001620E+06
7.025900E-01  4.011777E+06
7.043200E-01  4.021934E+06
7.060600E-01  4.032091E+06
7.077900E-01  4.042142E+06
7.095300E-01  4.052246E+06
7.112600E-01  4.062244E+06
7.129900E-01  4.072242E+06
7.147300E-01  4.082187E+06
7.164600E-01  4.092080E+06
7.182000E-01  4.101919E+06
7.199300E-01  4.111758E+06
7.216700E-01  4.121545E+06
7.234000E-01  4.131331E+06
7.251400E-01  4.141012E+06
7.268700E-01  4.150693E+06
7.286100E-01  4.160320E+06
7.303400E-01  4.169948E+06
7.320800E-01  4.179470E+06
7.338100E-01  4.188992E+06
7.355500E-01  4.198514E+06
7.372800E-01  4.207983E+06
7.390200E-01  4.217347E+06
7.407500E-01  4.226710E+06
7.424900E-01  4.236020E+06
7.442200E-01  4.245331E+06
7.459600E-01  4.254588E+06
7.476900E-01  4.263793E+06
7.494200E-01  4.272945E+06
7.511600E-01  4.282096E+06
7.528900E-01  4.291195E+06
7.546300E-01  4.300241E+06
7.563600E-01  4.309234E+06
7.581000E-01  4.318174E+06
7.598300E-01  4.327114E+06
7.615700E-01  4.336001E+06
7.633000E-01  4.344836E+06
7.650400E-01  4.353617E+06
7.667700E-01  4.362346E+06
7.685100E-01  4.371074E+06
7.702400E-01  4.379750E+06
7.719800E-01  4.388372E+06
7.737100E-01  4.396942E+06
7.754500E-01  4.405512E+06
7.771800E-01  4.413976E+06
7.789200E-01  4.422440E+06
7.806500E-01  4.430851E+06
7.823800E-01  4.439262E+06
7.841200E-01  4.447568E+06
7.858500E-01  4.455873E+06
7.875900E-01  4.464072E+06
7.893200E-01  4.472272E+06
7.910600E-01  4.480418E+06
7.927900E-01  4.488512E+06
7.945300E-01  4.496553E+06
7.962600E-01  4.504594E+06
7.980000E-01  4.512582E+06
7.997300E-01  4.520464E+06
8.014700E-01  4.528346E+06
8.032000E-01  4.536175E+06
8.049400E-01  4.543951E+06
8.066700E-01  4.551728E+06
8.084100E-01  4.559398E+06
8.101400E-01  4.567069E+06
8.118800E-01  4.574633E+06
8.136100E-01  4.582198E+06
8.153500E-01  4.589710E+06
8.170800E-01  4.597169E+06
8.188100E-01  4.604628E+06
8.205500E-01  4.611981E+06
8.222800E-01  4.619334E+06
8.240200E-01  4.626581E+06
8.257500E-01  4.633828E+06
8.274900E-01  4.640970E+06
8.292200E-01  4.648111E+06
8.309600E-01  4.655200E+06
8.326900E-01  4.662236E+06
8.344300E-01  4.669218E+06
8.361600E-01  4.676148E+06
8.379000E-01  4.683078E+06
8.396300E-01  4.689955E+06
8.413700E-01  4.696726E+06
8.431000E-01  4.703498E+06
8.448400E-01  4.710163E+06
8.465700E-01  4.716828E+06
8.483100E-01  4.723388E+06
8.500400E-01  4.729948E+06
8.517800E-01  4.736454E+06
8.535100E-01  4.742961E+06
8.552400E-01  4.749362E+06
8.569800E-01  4.755710E+06
8.587100E-01  4.762005E+06
8.604500E-01  4.768247E+06
8.621800E-01  4.774437E+06
8.639200E-01  4.780626E+06
8.656500E-01  4.786709E+06
8.673900E-01  4.792793E+06
8.691200E-01  4.798771E+06
8.708600E-01  4.804695E+06
8.725900E-01  4.810620E+06
8.743300E-01  4.816492E+06
8.760600E-01  4.822258E+06
8.778000E-01  4.828024E+06
8.795300E-01  4.833738E+06
8.812700E-01  4.839345E+06
8.830000E-01  4.844952E+06
8.847400E-01  4.850507E+06
8.864700E-01  4.855956E+06
8.882000E-01  4.861404E+06
8.899400E-01  4.866800E+06
8.916700E-01  4.872143E+06
8.934100E-01  4.877380E+06
8.951400E-01  4.882617E+06
8.968800E-01  4.887801E+06
