# (E [MeV])  (Flux [1/MeV/cm^2/s]
9.549926E+00  2.657600E+00
9.772372E+00  2.556309E+00
1.000000E+01  2.455000E+00
1.023293E+01  2.353918E+00
1.047129E+01  2.253308E+00
1.071519E+01  2.153407E+00
1.096478E+01  2.054448E+00
1.122018E+01  1.956655E+00
1.148154E+01  1.860243E+00
1.174898E+01  1.765419E+00
1.202264E+01  1.672377E+00
1.230269E+01  1.581302E+00
1.258925E+01  1.492365E+00
1.288250E+01  1.405721E+00
1.318257E+01  1.321517E+00
1.348963E+01  1.239879E+00
1.380384E+01  1.160923E+00
1.412538E+01  1.084747E+00
1.445440E+01  1.011435E+00
1.479108E+01  9.410545E-01
1.513561E+01  8.736575E-01
1.548817E+01  8.092813E-01
1.584893E+01  7.479479E-01
1.621810E+01  6.896645E-01
1.659587E+01  6.344244E-01
1.698244E+01  5.822074E-01
1.737801E+01  5.329802E-01
1.778279E+01  4.866976E-01
1.819701E+01  4.433032E-01
1.862087E+01  4.027302E-01
1.905461E+01  3.649024E-01
1.949845E+01  3.297353E-01
1.995262E+01  2.971370E-01
2.041738E+01  2.670093E-01
2.089296E+01  2.392485E-01
2.137962E+01  2.137469E-01
2.187762E+01  1.903933E-01
2.238721E+01  1.690743E-01
2.290868E+01  1.496752E-01
2.344229E+01  1.320808E-01
2.398833E+01  1.161764E-01
2.454709E+01  1.018483E-01
2.511886E+01  8.898500E-02
2.570396E+01  7.747730E-02
2.630268E+01  6.721932E-02
2.691535E+01  5.810880E-02
2.754229E+01  5.004758E-02
2.818383E+01  4.294197E-02
2.884032E+01  3.670302E-02
2.951209E+01  3.124676E-02
3.019952E+01  2.649432E-02
3.090295E+01  2.237203E-02
3.162278E+01  1.881145E-02
3.235937E+01  1.574929E-02
3.311311E+01  1.312741E-02
3.388442E+01  1.089262E-02
3.467369E+01  8.996530E-03
3.548134E+01  7.395392E-03
3.630781E+01  6.049830E-03
3.715352E+01  4.924612E-03
3.801894E+01  3.988392E-03
3.890451E+01  3.213433E-03
3.981072E+01  2.575335E-03
4.073803E+01  2.052757E-03
4.168694E+01  1.627142E-03
4.265795E+01  1.282453E-03
4.365158E+01  1.004910E-03
4.466836E+01  7.827509E-04
4.570882E+01  6.059969E-04
4.677351E+01  4.662357E-04
4.786301E+01  3.564228E-04
4.897788E+01  2.706983E-04
5.011872E+01  2.042204E-04
5.128614E+01  1.530166E-04
5.248075E+01  1.138503E-04
5.370318E+01  8.410361E-05
5.495409E+01  6.167478E-05
5.623413E+01  4.488886E-05
5.754399E+01  3.242136E-05
5.888437E+01  2.323314E-05
6.025596E+01  1.651538E-05
6.165950E+01  1.164373E-05
6.309573E+01  8.140192E-06
6.456542E+01  5.641972E-06
6.606934E+01  3.876087E-06
6.760830E+01  2.638960E-06
6.918310E+01  1.780153E-06
7.079458E+01  1.189523E-06
7.244360E+01  7.871977E-07
7.413102E+01  5.158119E-07
7.585776E+01  3.345760E-07
7.762471E+01  2.147784E-07
7.943282E+01  1.364185E-07
8.128305E+01  8.571054E-08
8.317638E+01  5.325521E-08
8.511380E+01  3.271471E-08
8.709636E+01  1.986370E-08
8.912509E+01  1.191774E-08
9.120108E+01  7.063520E-09
9.332543E+01  4.134436E-09
9.549926E+01  2.389186E-09
9.772372E+01  1.362667E-09
1.000000E+02  7.668321E-10
