# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.254600E+00  4.123356E+05
3.270900E+00  4.148330E+05
3.287300E+00  4.173253E+05
3.303600E+00  4.198124E+05
3.319900E+00  4.222944E+05
3.336300E+00  4.247660E+05
3.352600E+00  4.272274E+05
3.368900E+00  4.296784E+05
3.385300E+00  4.321294E+05
3.401600E+00  4.345752E+05
3.418000E+00  4.370107E+05
3.434300E+00  4.394359E+05
3.450600E+00  4.418508E+05
3.467000E+00  4.442605E+05
3.483300E+00  4.466651E+05
3.499600E+00  4.490593E+05
3.516000E+00  4.514484E+05
3.532300E+00  4.538220E+05
3.548600E+00  4.561904E+05
3.565000E+00  4.585486E+05
3.581300E+00  4.609015E+05
3.597700E+00  4.632442E+05
3.614000E+00  4.655816E+05
3.630300E+00  4.679036E+05
3.646700E+00  4.702153E+05
3.663000E+00  4.725167E+05
3.679300E+00  4.748180E+05
3.695700E+00  4.771091E+05
3.712000E+00  4.793898E+05
3.728300E+00  4.816550E+05
3.744700E+00  4.839151E+05
3.761000E+00  4.861597E+05
3.777400E+00  4.884043E+05
3.793700E+00  4.906386E+05
3.810000E+00  4.928574E+05
3.826400E+00  4.950710E+05
3.842700E+00  4.972692E+05
3.859000E+00  4.994519E+05
3.875400E+00  5.016346E+05
3.891700E+00  5.038069E+05
3.908000E+00  5.059690E+05
3.924400E+00  5.081207E+05
3.940700E+00  5.102569E+05
3.957100E+00  5.123777E+05
3.973400E+00  5.144984E+05
3.989700E+00  5.166192E+05
4.006100E+00  5.186832E+05
4.022400E+00  5.207988E+05
4.038700E+00  5.228628E+05
4.055100E+00  5.249268E+05
4.071400E+00  5.269908E+05
4.087700E+00  5.290032E+05
4.104100E+00  5.310672E+05
4.120400E+00  5.330796E+05
4.136800E+00  5.350404E+05
4.153100E+00  5.370528E+05
4.169400E+00  5.390652E+05
4.185800E+00  5.410260E+05
4.202100E+00  5.429868E+05
4.218400E+00  5.449476E+05
4.234800E+00  5.468568E+05
4.251100E+00  5.487660E+05
4.267400E+00  5.506752E+05
4.283800E+00  5.525844E+05
4.300100E+00  5.544936E+05
4.316500E+00  5.563512E+05
4.332800E+00  5.582088E+05
4.349100E+00  5.600664E+05
4.365500E+00  5.619240E+05
4.381800E+00  5.637300E+05
4.398100E+00  5.655360E+05
4.414500E+00  5.673420E+05
4.430800E+00  5.691480E+05
4.447100E+00  5.709024E+05
4.463500E+00  5.727084E+05
4.479800E+00  5.744628E+05
4.496200E+00  5.761656E+05
4.512500E+00  5.779200E+05
4.528800E+00  5.796228E+05
4.545200E+00  5.813256E+05
4.561500E+00  5.830284E+05
4.577800E+00  5.846796E+05
4.594200E+00  5.863308E+05
4.610500E+00  5.879820E+05
4.626800E+00  5.896332E+05
4.643200E+00  5.912328E+05
4.659500E+00  5.928324E+05
4.675900E+00  5.944320E+05
4.692200E+00  5.960316E+05
4.708500E+00  5.975796E+05
4.724900E+00  5.991792E+05
4.741200E+00  6.006756E+05
4.757500E+00  6.022236E+05
4.773900E+00  6.037200E+05
4.790200E+00  6.052164E+05
4.806500E+00  6.067128E+05
4.822900E+00  6.082092E+05
4.839200E+00  6.096540E+05
4.855600E+00  6.110988E+05
4.871900E+00  6.125436E+05
4.888200E+00  6.139368E+05
4.904600E+00  6.153816E+05
4.920900E+00  6.167748E+05
4.937200E+00  6.181164E+05
4.953600E+00  6.195096E+05
