# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.734300E+00  3.031522E+02
3.753000E+00  3.054824E+02
3.771800E+00  3.077966E+02
3.790500E+00  3.101188E+02
3.809300E+00  3.124330E+02
3.828100E+00  3.147551E+02
3.846800E+00  3.170693E+02
3.865600E+00  3.194075E+02
3.884400E+00  3.217297E+02
3.903100E+00  3.240518E+02
3.921900E+00  3.263740E+02
3.940700E+00  3.286962E+02
3.959400E+00  3.310184E+02
3.978200E+00  3.333485E+02
3.997000E+00  3.356787E+02
4.015700E+00  3.380089E+02
4.034500E+00  3.403390E+02
4.053300E+00  3.426692E+02
4.072000E+00  3.449993E+02
4.090800E+00  3.473215E+02
4.109500E+00  3.496597E+02
4.128300E+00  3.519898E+02
4.147100E+00  3.543120E+02
4.165800E+00  3.566342E+02
4.184600E+00  3.589643E+02
4.203400E+00  3.612865E+02
4.222100E+00  3.636247E+02
4.240900E+00  3.659468E+02
4.259700E+00  3.682690E+02
4.278400E+00  3.705992E+02
4.297200E+00  3.729134E+02
4.316000E+00  3.752356E+02
4.334700E+00  3.775657E+02
4.353500E+00  3.798879E+02
4.372300E+00  3.822101E+02
4.391000E+00  3.845243E+02
4.409800E+00  3.868385E+02
4.428600E+00  3.891447E+02
4.447300E+00  3.914749E+02
4.466100E+00  3.937891E+02
4.484800E+00  3.960953E+02
4.503600E+00  3.984015E+02
4.522400E+00  4.007077E+02
4.541100E+00  4.030139E+02
4.559900E+00  4.053281E+02
4.578700E+00  4.076264E+02
4.597400E+00  4.099246E+02
4.616200E+00  4.122229E+02
4.635000E+00  4.145131E+02
4.653700E+00  4.168114E+02
4.672500E+00  4.191016E+02
4.691300E+00  4.213919E+02
4.710000E+00  4.236821E+02
4.728800E+00  4.259564E+02
4.747600E+00  4.282387E+02
4.766300E+00  4.305130E+02
4.785100E+00  4.327873E+02
4.803900E+00  4.350696E+02
4.822600E+00  4.373439E+02
4.841400E+00  4.396022E+02
4.860100E+00  4.418686E+02
4.878900E+00  4.441269E+02
4.897700E+00  4.463852E+02
4.916400E+00  4.486516E+02
4.935200E+00  4.509019E+02
4.954000E+00  4.531443E+02
4.972700E+00  4.553867E+02
4.991500E+00  4.576211E+02
5.010300E+00  4.598635E+02
5.029000E+00  4.621058E+02
5.047800E+00  4.643402E+02
5.066600E+00  4.665587E+02
5.085300E+00  4.687771E+02
5.104100E+00  4.709956E+02
5.122900E+00  4.732060E+02
5.141600E+00  4.754324E+02
5.160400E+00  4.776349E+02
5.179200E+00  4.798294E+02
5.197900E+00  4.820319E+02
5.216700E+00  4.842264E+02
5.235400E+00  4.864129E+02
5.254200E+00  4.886074E+02
5.273000E+00  4.907860E+02
5.291700E+00  4.929645E+02
5.310500E+00  4.951271E+02
5.329300E+00  4.972976E+02
5.348000E+00  4.994602E+02
5.366800E+00  5.016228E+02
5.385600E+00  5.037694E+02
5.404300E+00  5.059240E+02
5.423100E+00  5.080627E+02
5.441900E+00  5.102013E+02
5.460600E+00  5.123320E+02
5.479400E+00  5.144626E+02
5.498200E+00  5.165853E+02
5.516900E+00  5.187080E+02
5.535700E+00  5.208147E+02
5.554500E+00  5.229214E+02
5.573200E+00  5.250202E+02
5.592000E+00  5.271109E+02
5.610700E+00  5.292097E+02
5.629500E+00  5.312924E+02
5.648300E+00  5.333752E+02
5.667000E+00  5.354420E+02
5.685800E+00  5.375089E+02
5.704600E+00  5.395677E+02
5.723300E+00  5.416345E+02
5.742100E+00  5.436854E+02
5.760900E+00  5.457283E+02
5.779600E+00  5.477632E+02
5.798400E+00  5.497901E+02
5.817200E+00  5.518170E+02
