# (E [MeV])  (Flux [1/MeV/cm^2/s]
2.412600E-01  1.059375E+08
2.424500E-01  1.067993E+08
2.436300E-01  1.076611E+08
2.448200E-01  1.085229E+08
2.460100E-01  1.093847E+08
2.472000E-01  1.102520E+08
2.483900E-01  1.111194E+08
2.495700E-01  1.119867E+08
2.507600E-01  1.128541E+08
2.519500E-01  1.137242E+08
2.531400E-01  1.145999E+08
2.543300E-01  1.154729E+08
2.555200E-01  1.163486E+08
2.567000E-01  1.172243E+08
2.578900E-01  1.181000E+08
2.590800E-01  1.189840E+08
2.602700E-01  1.198680E+08
2.614600E-01  1.207521E+08
2.626400E-01  1.216333E+08
2.638300E-01  1.225174E+08
2.650200E-01  1.234070E+08
2.662100E-01  1.242938E+08
2.674000E-01  1.251834E+08
2.685900E-01  1.260702E+08
2.697700E-01  1.269570E+08
2.709600E-01  1.278522E+08
2.721500E-01  1.287474E+08
2.733400E-01  1.296425E+08
2.745300E-01  1.305377E+08
2.757100E-01  1.314328E+08
2.769000E-01  1.323308E+08
2.780900E-01  1.332315E+08
2.792800E-01  1.341294E+08
2.804700E-01  1.350302E+08
2.816600E-01  1.359281E+08
2.828400E-01  1.368316E+08
2.840300E-01  1.377379E+08
2.852200E-01  1.386414E+08
2.864100E-01  1.395477E+08
2.876000E-01  1.404512E+08
2.887800E-01  1.413602E+08
2.899700E-01  1.422665E+08
2.911600E-01  1.431728E+08
2.923500E-01  1.440818E+08
2.935400E-01  1.449881E+08
2.947300E-01  1.459000E+08
2.959100E-01  1.468118E+08
2.971000E-01  1.477236E+08
2.982900E-01  1.486355E+08
2.994800E-01  1.495473E+08
3.006700E-01  1.504619E+08
3.018600E-01  1.513738E+08
3.030400E-01  1.522884E+08
3.042300E-01  1.532030E+08
3.054200E-01  1.541176E+08
3.066100E-01  1.550323E+08
3.078000E-01  1.559497E+08
3.089800E-01  1.568671E+08
3.101700E-01  1.577872E+08
3.113600E-01  1.587046E+08
3.125500E-01  1.596220E+08
3.137400E-01  1.605394E+08
3.149300E-01  1.614568E+08
3.161100E-01  1.623770E+08
3.173000E-01  1.632944E+08
3.184900E-01  1.642146E+08
3.196800E-01  1.651376E+08
3.208700E-01  1.660577E+08
3.220500E-01  1.669807E+08
3.232400E-01  1.679009E+08
3.244300E-01  1.688238E+08
3.256200E-01  1.697440E+08
3.268100E-01  1.706670E+08
3.280000E-01  1.715899E+08
3.291800E-01  1.725101E+08
3.303700E-01  1.734331E+08
3.315600E-01  1.743533E+08
3.327500E-01  1.752734E+08
3.339400E-01  1.761964E+08
3.351200E-01  1.771166E+08
3.363100E-01  1.780368E+08
3.375000E-01  1.789569E+08
3.386900E-01  1.798771E+08
3.398800E-01  1.807973E+08
3.410700E-01  1.817203E+08
3.422500E-01  1.826404E+08
3.434400E-01  1.835634E+08
3.446300E-01  1.844836E+08
3.458200E-01  1.854065E+08
3.470100E-01  1.863295E+08
3.481900E-01  1.872497E+08
3.493800E-01  1.881699E+08
3.505700E-01  1.890873E+08
3.517600E-01  1.900074E+08
3.529500E-01  1.909276E+08
3.541400E-01  1.918450E+08
3.553200E-01  1.927652E+08
3.565100E-01  1.936854E+08
3.577000E-01  1.946028E+08
3.588900E-01  1.955230E+08
3.600800E-01  1.964431E+08
3.612600E-01  1.973605E+08
3.624500E-01  1.982779E+08
3.636400E-01  1.991953E+08
3.648300E-01  2.001127E+08
3.660200E-01  2.010301E+08
3.672100E-01  2.019420E+08
3.683900E-01  2.028566E+08
3.695800E-01  2.037684E+08
3.707700E-01  2.046831E+08
3.719600E-01  2.055949E+08
3.731500E-01  2.065067E+08
3.743300E-01  2.074158E+08
3.755200E-01  2.083276E+08
3.767100E-01  2.092367E+08
3.779000E-01  2.101485E+08
3.790900E-01  2.110576E+08
