# Er [keV]  dR/dEr 12C [1/keV/kg/Myr]  13C
3.199E-02  4.425E+08  5.524E+06
3.274E-02  4.329E+08  5.679E+06
3.350E-02  4.230E+08  5.564E+06
3.428E-02  4.134E+08  5.164E+06
3.508E-02  4.021E+08  5.184E+06
3.589E-02  3.957E+08  5.220E+06
3.673E-02  3.850E+08  4.943E+06
3.759E-02  3.763E+08  4.744E+06
3.846E-02  3.670E+08  4.710E+06
3.936E-02  3.585E+08  4.616E+06
4.027E-02  3.516E+08  4.579E+06
4.121E-02  3.430E+08  4.559E+06
4.217E-02  3.349E+08  4.279E+06
4.315E-02  3.281E+08  4.182E+06
4.416E-02  3.198E+08  4.288E+06
4.519E-02  3.126E+08  4.079E+06
4.624E-02  3.057E+08  3.886E+06
4.732E-02  2.998E+08  3.977E+06
4.842E-02  2.905E+08  4.031E+06
4.955E-02  2.852E+08  3.758E+06
5.070E-02  2.794E+08  3.764E+06
5.188E-02  2.729E+08  3.516E+06
5.309E-02  2.658E+08  3.438E+06
5.433E-02  2.589E+08  3.486E+06
5.559E-02  2.543E+08  3.271E+06
5.689E-02  2.489E+08  3.136E+06
5.821E-02  2.432E+08  3.356E+06
5.957E-02  2.367E+08  3.209E+06
6.096E-02  2.327E+08  2.891E+06
6.238E-02  2.264E+08  2.983E+06
6.383E-02  2.207E+08  2.826E+06
6.532E-02  2.165E+08  2.804E+06
6.684E-02  2.113E+08  2.774E+06
6.840E-02  2.064E+08  2.660E+06
6.999E-02  2.011E+08  2.573E+06
7.162E-02  1.966E+08  2.600E+06
7.329E-02  1.927E+08  2.487E+06
7.499E-02  1.876E+08  2.512E+06
7.674E-02  1.851E+08  2.416E+06
7.853E-02  1.808E+08  2.312E+06
8.036E-02  1.765E+08  2.222E+06
8.223E-02  1.716E+08  2.338E+06
8.415E-02  1.686E+08  2.255E+06
8.611E-02  1.652E+08  2.097E+06
8.811E-02  1.603E+08  2.096E+06
9.016E-02  1.571E+08  1.975E+06
9.226E-02  1.535E+08  1.887E+06
9.441E-02  1.497E+08  1.927E+06
9.661E-02  1.459E+08  1.908E+06
9.886E-02  1.429E+08  1.811E+06
1.012E-01  1.399E+08  1.831E+06
1.035E-01  1.359E+08  1.839E+06
1.059E-01  1.338E+08  1.791E+06
1.084E-01  1.302E+08  1.706E+06
1.109E-01  1.278E+08  1.686E+06
1.135E-01  1.254E+08  1.640E+06
1.162E-01  1.217E+08  1.646E+06
1.189E-01  1.185E+08  1.550E+06
1.216E-01  1.158E+08  1.478E+06
1.245E-01  1.135E+08  1.520E+06
1.274E-01  1.111E+08  1.474E+06
1.303E-01  1.083E+08  1.459E+06
1.334E-01  1.061E+08  1.344E+06
1.365E-01  1.031E+08  1.365E+06
1.396E-01  1.015E+08  1.333E+06
1.429E-01  9.894E+07  1.306E+06
1.462E-01  9.755E+07  1.227E+06
1.496E-01  9.408E+07  1.257E+06
1.531E-01  9.236E+07  1.238E+06
1.567E-01  9.029E+07  1.174E+06
1.603E-01  8.835E+07  1.132E+06
1.641E-01  8.652E+07  1.130E+06
1.679E-01  8.438E+07  1.122E+06
1.718E-01  8.249E+07  1.007E+06
1.758E-01  8.021E+07  1.065E+06
1.799E-01  7.830E+07  1.051E+06
1.841E-01  7.680E+07  1.008E+06
1.884E-01  7.480E+07  1.016E+06
1.928E-01  7.318E+07  9.429E+05
1.973E-01  7.126E+07  9.379E+05
2.019E-01  6.982E+07  8.980E+05
2.066E-01  6.846E+07  8.900E+05
2.114E-01  6.698E+07  8.492E+05
2.163E-01  6.549E+07  8.550E+05
2.213E-01  6.352E+07  8.583E+05
2.265E-01  6.232E+07  8.160E+05
2.318E-01  6.107E+07  7.936E+05
2.372E-01  5.978E+07  7.835E+05
2.427E-01  5.834E+07  7.718E+05
2.483E-01  5.712E+07  7.184E+05
2.541E-01  5.570E+07  7.327E+05
2.600E-01  5.429E+07  7.134E+05
2.661E-01  5.318E+07  6.927E+05
2.723E-01  5.191E+07  6.976E+05
2.786E-01  5.071E+07  6.896E+05
2.851E-01  4.925E+07  6.451E+05
2.918E-01  4.810E+07  6.189E+05
