# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  S32  S34  Ca40  Ca44
4.518859E-03  1.632742E+08  7.092046E+06  0.000000E+00  1.929739E+07  7.767038E+05
4.624117E-03  1.607595E+08  6.966755E+06  0.000000E+00  1.906596E+07  7.228799E+05
4.731826E-03  1.556784E+08  7.020100E+06  0.000000E+00  1.873793E+07  7.064251E+05
4.842045E-03  1.540332E+08  6.566906E+06  0.000000E+00  1.764694E+07  6.644570E+05
4.954830E-03  1.482838E+08  6.602949E+06  0.000000E+00  1.759943E+07  7.083623E+05
5.070243E-03  1.466226E+08  6.535057E+06  0.000000E+00  1.759438E+07  5.768650E+05
5.188344E-03  1.421657E+08  6.595687E+06  0.000000E+00  1.646103E+07  7.248008E+05
5.309196E-03  1.399055E+08  6.445551E+06  0.000000E+00  1.681825E+07  5.509018E+05
5.432863E-03  1.355749E+08  6.114251E+06  0.000000E+00  1.648925E+07  6.921794E+05
5.559411E-03  1.334884E+08  5.854821E+06  0.000000E+00  1.573812E+07  5.636862E+05
5.688906E-03  1.307804E+08  5.868444E+06  0.000000E+00  1.493919E+07  6.757157E+05
5.821418E-03  1.286719E+08  5.864057E+06  0.000000E+00  1.535995E+07  4.880733E+05
5.957016E-03  1.259674E+08  5.450009E+06  0.000000E+00  1.463857E+07  5.681476E+05
6.095773E-03  1.214139E+08  5.812621E+06  0.000000E+00  1.500451E+07  4.661064E+05
6.237762E-03  1.177793E+08  5.579833E+06  0.000000E+00  1.431465E+07  5.023859E+05
6.383058E-03  1.166563E+08  5.046968E+06  0.000000E+00  1.361569E+07  3.469381E+05
6.531738E-03  1.127279E+08  5.226347E+06  0.000000E+00  1.352325E+07  4.733778E+05
6.683882E-03  1.094430E+08  4.851074E+06  0.000000E+00  1.309040E+07  4.375969E+05
6.839570E-03  1.089616E+08  4.985013E+06  0.000000E+00  1.320784E+07  4.581814E+05
6.998884E-03  1.063441E+08  4.967061E+06  0.000000E+00  1.267436E+07  4.119317E+05
7.161909E-03  1.029082E+08  4.649802E+06  0.000000E+00  1.287009E+07  4.433939E+05
7.328731E-03  1.013981E+08  4.293101E+06  0.000000E+00  1.221225E+07  4.903144E+05
7.499439E-03  9.829889E+07  4.563101E+06  0.000000E+00  1.181726E+07  3.175784E+05
7.674123E-03  9.707949E+07  4.350337E+06  0.000000E+00  1.151560E+07  4.137993E+05
7.852877E-03  9.537517E+07  4.496068E+06  0.000000E+00  1.132264E+07  3.618138E+05
8.035794E-03  9.230982E+07  3.946553E+06  0.000000E+00  1.134569E+07  3.535779E+05
8.222971E-03  9.048299E+07  4.110784E+06  0.000000E+00  1.099597E+07  3.861800E+05
8.414509E-03  8.919302E+07  3.724238E+06  0.000000E+00  1.106844E+07  3.326986E+05
8.610508E-03  8.669688E+07  3.814158E+06  0.000000E+00  1.074855E+07  3.687990E+05
8.811073E-03  8.483249E+07  3.570846E+06  0.000000E+00  1.059398E+07  2.845296E+05
9.016309E-03  8.209975E+07  3.596151E+06  0.000000E+00  1.004698E+07  3.661030E+05
