# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
4.518859E-03  8.985968E+07  9.484903E+06  1.106111E+05  6.869740E+06  2.010752E+06
4.624117E-03  8.918469E+07  8.917697E+06  1.158142E+05  6.659319E+06  1.829865E+06
4.731826E-03  8.575874E+07  8.812793E+06  1.282684E+05  6.383239E+06  1.912708E+06
4.842045E-03  8.473200E+07  8.862887E+06  9.954157E+04  6.407528E+06  1.670086E+06
4.954830E-03  8.278525E+07  8.844886E+06  1.441122E+05  6.265278E+06  1.635673E+06
5.070243E-03  8.081985E+07  8.890007E+06  9.506146E+04  5.879728E+06  1.623086E+06
5.188344E-03  7.948594E+07  8.333259E+06  9.633825E+04  5.969531E+06  1.620547E+06
5.309196E-03  7.805320E+07  8.348673E+06  1.176817E+05  5.736140E+06  1.778674E+06
5.432863E-03  7.549119E+07  8.056774E+06  1.215745E+05  5.766574E+06  1.593612E+06
5.559411E-03  7.354482E+07  7.921545E+06  9.954110E+04  5.741274E+06  1.509171E+06
5.688906E-03  7.181111E+07  7.487058E+06  9.413735E+04  5.594897E+06  1.424612E+06
5.821418E-03  7.099524E+07  7.359562E+06  1.165264E+05  5.311151E+06  1.487245E+06
5.957016E-03  6.822547E+07  7.174058E+06  8.091043E+04  5.298135E+06  1.315544E+06
6.095773E-03  6.778529E+07  7.253819E+06  8.492562E+04  5.101394E+06  1.399809E+06
6.237762E-03  6.565850E+07  7.254687E+06  1.287814E+05  5.088297E+06  1.399425E+06
6.383058E-03  6.460580E+07  6.622507E+06  8.949334E+04  4.994847E+06  1.255703E+06
6.531738E-03  6.248200E+07  6.816119E+06  7.652419E+04  4.766364E+06  1.377435E+06
6.683882E-03  6.216011E+07  6.257675E+06  9.614866E+04  4.623148E+06  1.378131E+06
6.839570E-03  6.057291E+07  6.433653E+06  7.308004E+04  4.669292E+06  1.398961E+06
6.998884E-03  5.804124E+07  6.225991E+06  7.651771E+04  4.302846E+06  1.203879E+06
7.161909E-03  5.733820E+07  5.957151E+06  8.973115E+04  4.242289E+06  1.273684E+06
7.328731E-03  5.602085E+07  6.101666E+06  8.038123E+04  4.335715E+06  1.139952E+06
7.499439E-03  5.429101E+07  5.760446E+06  7.141049E+04  4.051355E+06  1.156850E+06
7.674123E-03  5.358789E+07  5.475795E+06  9.304665E+04  3.931221E+06  1.135169E+06
7.852877E-03  5.279317E+07  5.589839E+06  5.683040E+04  3.941757E+06  1.154794E+06
8.035794E-03  5.056291E+07  5.433719E+06  7.775150E+04  3.969769E+06  1.104071E+06
8.222971E-03  4.962471E+07  5.199316E+06  8.032347E+04  3.681854E+06  1.102820E+06
8.414509E-03  4.859270E+07  5.261292E+06  7.425211E+04  3.583195E+06  1.016193E+06
8.610508E-03  4.707610E+07  5.265922E+06  4.146396E+04  3.700658E+06  9.184266E+05
8.811073E-03  4.615444E+07  5.237226E+06  7.698823E+04  3.626551E+06  9.988210E+05
9.016309E-03  4.487813E+07  5.036836E+06  7.721565E+04  3.520242E+06  9.543063E+05
9.226326E-03  4.426096E+07  4.786747E+06  5.417498E+04  3.343370E+06  1.002237E+06
9.441234E-03  4.276753E+07  4.747746E+06  4.916025E+04  3.409074E+06  8.678675E+05
9.661149E-03  4.146697E+07  4.528809E+06  6.282314E+04  3.316692E+06  9.441949E+05
9.886186E-03  4.071086E+07  4.447389E+06  6.139311E+04  3.140077E+06  1.016598E+06
1.011646E-02  3.935890E+07  4.323215E+06  6.881852E+04  3.109186E+06  8.717013E+05
1.035211E-02  3.841470E+07  4.183421E+06  6.035438E+04  3.184987E+06  8.535833E+05
1.059324E-02  3.748298E+07  4.145490E+06  4.549928E+04  3.040026E+06  8.392089E+05
1.083999E-02  3.702170E+07  4.149935E+06  6.422518E+04  2.794619E+06  8.826845E+05
1.109248E-02  3.568653E+07  3.978224E+06  4.184216E+04  2.850095E+06  8.110942E+05
1.135086E-02  3.489623E+07  3.952148E+06  4.403508E+04  2.698721E+06  7.548870E+05
1.161526E-02  3.456142E+07  3.849891E+06  4.456960E+04  2.738725E+06  8.406749E+05
1.188581E-02  3.355393E+07  3.678151E+06  5.106457E+04  2.638837E+06  7.344286E+05
1.216267E-02  3.281950E+07  3.694230E+06  3.375737E+04  2.512722E+06  7.294527E+05
1.244597E-02  3.214702E+07  3.499698E+06  3.442326E+04  2.487080E+06  7.085454E+05
1.273587E-02  3.146572E+07  3.432650E+06  5.045953E+04  2.518772E+06  7.639013E+05
1.303253E-02  3.079605E+07  3.413412E+06  4.383194E+04  2.398429E+06  7.150086E+05
1.333610E-02  3.003079E+07  3.382564E+06  5.220419E+04  2.311709E+06  7.174729E+05
1.364674E-02  2.954473E+07  3.215308E+06  4.447538E+04  2.255163E+06  6.540497E+05
1.396461E-02  2.858459E+07  3.200922E+06  4.601964E+04  2.182098E+06  6.481100E+05
1.428989E-02  2.804511E+07  2.979402E+06  4.122443E+04  2.281085E+06  6.483479E+05
1.462274E-02  2.737986E+07  3.001921E+06  3.296131E+04  2.147368E+06  6.201610E+05
1.496335E-02  2.644525E+07  2.976537E+06  4.056203E+04  2.019750E+06  6.466064E+05
1.531189E-02  2.633527E+07  2.837666E+06  3.614119E+04  2.146320E+06  6.412146E+05
1.566855E-02  2.557744E+07  2.958780E+06  4.101505E+04  2.103161E+06  6.015541E+05
1.603352E-02  2.493622E+07  2.814607E+06  5.789540E+04  2.054173E+06  5.811808E+05
1.640699E-02  2.449046E+07  2.702666E+06  4.243316E+04  1.947573E+06  5.505430E+05
1.678915E-02  2.371077E+07  2.656031E+06  1.913874E+04  1.961720E+06  5.337581E+05
1.718022E-02  2.334561E+07  2.625705E+06  3.532805E+04  1.950316E+06  5.548582E+05
1.758040E-02  2.254207E+07  2.483689E+06  3.249307E+04  1.731271E+06  5.381664E+05
1.798990E-02  2.219764E+07  2.438068E+06  2.877655E+04  1.797046E+06  4.951551E+05
1.840894E-02  2.167005E+07  2.505724E+06  3.393976E+04  1.794928E+06  4.964902E+05
1.883774E-02  2.126207E+07  2.398462E+06  2.937666E+04  1.721851E+06  4.965603E+05
1.927653E-02  2.077438E+07  2.332754E+06  3.519041E+04  1.647467E+06  5.056306E+05
1.972553E-02  2.012684E+07  2.221735E+06  3.257941E+04  1.647975E+06  4.787364E+05
2.018500E-02  1.980843E+07  2.249872E+06  2.476274E+04  1.621960E+06  4.819891E+05
