# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Mg24  Mg25  Mg26  P31  Fe54  Fe56  Fe57
2.483298E-03  3.762570E+06  4.585737E+05  3.465964E+04  0.000000E+00  2.666126E+03  1.999594E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.541141E-03  3.874937E+06  4.670247E+05  2.996253E+04  3.908156E+03  1.302719E+03  1.498127E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.600332E-03  3.846567E+06  4.283865E+05  2.928050E+04  6.365326E+02  3.182663E+03  1.527678E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.660901E-03  3.777047E+06  4.503594E+05  2.799195E+04  2.488174E+03  2.488174E+03  2.301561E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.722882E-03  3.822982E+06  4.455789E+05  2.735478E+04  3.039420E+03  3.039420E+03  2.370747E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.786306E-03  3.767445E+06  4.574160E+05  3.267257E+04  1.188094E+03  5.940468E+02  1.188094E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.851207E-03  3.829721E+06  4.261051E+05  2.380151E+04  1.741574E+03  1.161049E+03  1.567417E+04  0.000000E+00  5.805247E+02  0.000000E+00
2.917620E-03  3.848066E+06  4.413674E+05  2.552896E+04  1.134621E+03  1.701931E+03  1.928855E+04  0.000000E+00  0.000000E+00  0.000000E+00
2.985580E-03  3.778768E+06  3.980569E+05  2.882863E+04  1.663190E+03  1.663190E+03  1.774070E+04  0.000000E+00  5.543967E+02  0.000000E+00
3.055124E-03  3.815195E+06  3.846618E+05  2.979774E+04  0.000000E+00  2.167109E+03  1.625331E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.126287E-03  3.720938E+06  4.039664E+05  1.747168E+04  5.294448E+02  2.117779E+03  1.641279E+04  0.000000E+00  5.294448E+02  0.000000E+00
3.199107E-03  3.862857E+06  3.994275E+05  2.121312E+04  5.173931E+02  1.552179E+03  1.448701E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.273624E-03  3.758243E+06  3.827512E+05  2.528079E+04  0.000000E+00  2.528079E+03  1.516848E+04  0.000000E+00  5.056158E+02  0.000000E+00
3.349876E-03  3.786339E+06  3.938030E+05  2.717586E+04  1.482320E+03  1.482320E+03  1.482320E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.427905E-03  3.789480E+06  3.626274E+05  2.607441E+04  4.828594E+02  2.897156E+03  1.352006E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.507751E-03  3.758430E+06  3.482387E+05  2.359341E+04  4.718682E+02  3.303077E+03  1.415604E+04  0.000000E+00  4.718682E+02  0.000000E+00
3.589457E-03  3.790004E+06  3.398507E+05  1.982847E+04  9.222543E+02  9.222543E+02  9.683670E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.673066E-03  3.815940E+06  3.131883E+05  2.072901E+04  4.506306E+02  4.055675E+03  1.081513E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.758623E-03  3.797336E+06  3.144263E+05  2.686275E+04  4.403730E+02  4.403730E+02  1.585343E+04  0.000000E+00  4.403730E+02  0.000000E+00
3.846173E-03  3.821928E+06  2.982318E+05  1.936570E+04  1.721396E+03  2.582093E+03  1.463186E+04  0.000000E+00  0.000000E+00  0.000000E+00
3.935762E-03  3.787920E+06  3.305546E+05  2.607428E+04  2.523318E+03  1.261659E+03  8.411059E+03  0.000000E+00  0.000000E+00  0.000000E+00
4.027437E-03  3.776495E+06  3.135777E+05  1.931606E+04  2.054900E+03  1.643920E+03  1.068548E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.121248E-03  3.811822E+06  3.148740E+05  2.048287E+04  0.000000E+00  4.417874E+03  1.204875E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.217245E-03  3.735652E+06  2.955396E+05  1.766173E+04  7.849657E+02  1.569931E+03  1.295193E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.315477E-03  3.812475E+06  2.838261E+05  1.841034E+04  3.835488E+02  7.670977E+02  1.265711E+04  0.000000E+00  3.835488E+02  0.000000E+00
4.415997E-03  3.757927E+06  2.968560E+05  2.024018E+04  7.496364E+02  1.124455E+03  1.012009E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.518859E-03  3.834651E+06  2.574993E+05  1.428517E+04  1.098859E+03  7.325726E+02  1.025602E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.624117E-03  3.784591E+06  2.573650E+05  2.076102E+04  1.789743E+03  1.431794E+03  1.324410E+04  0.000000E+00  0.000000E+00  0.000000E+00
4.731826E-03  3.782395E+06  2.696963E+05  1.818964E+04  1.049402E+03  1.399203E+03  1.084382E+04  0.000000E+00  3.498007E+02  0.000000E+00
4.842045E-03  3.763297E+06  2.539858E+05  1.367353E+04  6.836765E+02  6.836765E+02  9.229633E+03  0.000000E+00  3.418383E+02  0.000000E+00
4.954830E-03  3.780190E+06  2.565558E+05  1.336228E+04  3.340571E+02  2.004342E+03  9.353598E+03  0.000000E+00  3.340571E+02  0.000000E+00
5.070243E-03  3.835496E+06  2.458191E+05  1.305812E+04  6.529060E+02  1.632265E+03  1.273167E+04  0.000000E+00  0.000000E+00  0.000000E+00
5.188344E-03  3.810080E+06  2.306529E+05  1.754621E+04  9.570661E+02  3.190220E+02  8.613595E+03  0.000000E+00  3.190220E+02  0.000000E+00
