# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Sr86  Sr87  Sr88
3.126287E-03  1.509889E+08  1.327389E+06  1.348314E+07  2.207521E+07  2.288602E+05  1.307773E+05  1.392778E+06
3.199107E-03  1.471047E+08  1.341905E+06  1.313788E+07  2.134906E+07  2.875510E+05  1.150204E+05  1.476095E+06
3.273624E-03  1.423886E+08  1.367560E+06  1.282634E+07  2.035104E+07  2.248044E+05  1.311359E+05  1.230180E+06
3.349876E-03  1.399591E+08  1.391352E+06  1.266863E+07  2.011969E+07  2.074824E+05  1.525606E+05  1.336431E+06
3.427905E-03  1.364810E+08  1.419317E+06  1.198070E+07  1.967364E+07  2.087230E+05  1.669784E+05  1.467025E+06
3.507751E-03  1.346681E+08  1.270454E+06  1.127091E+07  1.897522E+07  2.389385E+05  1.398665E+05  1.375353E+06
3.589457E-03  1.308224E+08  1.252925E+06  1.152691E+07  1.875970E+07  1.594632E+05  1.537680E+05  1.270010E+06
3.673066E-03  1.281284E+08  1.313452E+06  1.084155E+07  1.882244E+07  2.560119E+05  8.904762E+04  1.235536E+06
3.758623E-03  1.234007E+08  1.196534E+06  1.106250E+07  1.854628E+07  1.686025E+05  9.789823E+04  1.305310E+06
3.846173E-03  1.223245E+08  1.174612E+06  1.068844E+07  1.764045E+07  1.647646E+05  7.972483E+04  1.179927E+06
3.935762E-03  1.198828E+08  1.101129E+06  9.884191E+06  1.708827E+07  1.869842E+05  1.610141E+05  1.137487E+06
4.027437E-03  1.176209E+08  1.167428E+06  1.049163E+07  1.670945E+07  1.725763E+05  1.471975E+05  1.055761E+06
4.121248E-03  1.145318E+08  1.056530E+06  9.667500E+06  1.608604E+07  1.636878E+05  1.091252E+05  1.170616E+06
4.217245E-03  1.111201E+08  1.134275E+06  9.859463E+06  1.612221E+07  2.229770E+05  9.209921E+04  1.173053E+06
4.315477E-03  1.091781E+08  1.037400E+06  9.374500E+06  1.550890E+07  2.131645E+05  1.042137E+05  1.037400E+06
4.415997E-03  1.074660E+08  9.906405E+05  9.452748E+06  1.531789E+07  1.759081E+05  1.157290E+05  1.018416E+06
4.518859E-03  1.045945E+08  9.364243E+05  9.337100E+06  1.520898E+07  1.673802E+05  1.130947E+05  1.040471E+06
4.624117E-03  1.008697E+08  9.725793E+05  8.938888E+06  1.476552E+07  2.121991E+05  1.016787E+05  1.153833E+06
4.731826E-03  9.856934E+07  1.015243E+06  8.765655E+06  1.423069E+07  1.555267E+05  9.504406E+04  1.105967E+06
4.842045E-03  9.761751E+07  9.414715E+05  8.608343E+06  1.450626E+07  1.773175E+05  9.710244E+04  1.059683E+06
4.954830E-03  9.526756E+07  9.489212E+05  8.234986E+06  1.352419E+07  1.609040E+05  7.838914E+04  1.118077E+06
5.070243E-03  9.363121E+07  8.426527E+05  8.103980E+06  1.322037E+07  2.056234E+05  9.676394E+04  9.595758E+05
5.188344E-03  9.030607E+07  9.653136E+05  7.962852E+06  1.293520E+07  1.300218E+05  1.142616E+05  9.850138E+05
5.309196E-03  8.863934E+07  9.240885E+05  8.105026E+06  1.274857E+07  1.309125E+05  7.700737E+04  1.074253E+06
5.432863E-03  8.702427E+07  8.353246E+05  7.709821E+06  1.212726E+07  1.316953E+05  9.406809E+04  9.594945E+05
5.559411E-03  8.446973E+07  7.685084E+05  7.596834E+06  1.202035E+07  1.764995E+05  6.986440E+04  8.052791E+05
5.688906E-03  8.305723E+07  8.588162E+05  7.305328E+06  1.211326E+07  1.437349E+05  1.149879E+05  9.055300E+05
5.821418E-03  8.152128E+07  8.708713E+05  7.219804E+06  1.199906E+07  1.229052E+05  1.088589E+05  8.392671E+05
5.957016E-03  7.895528E+07  7.412353E+05  6.911332E+06  1.135531E+07  1.544240E+05  7.206454E+04  8.441846E+05
6.095773E-03  7.686628E+07  8.149080E+05  7.065890E+06  1.131146E+07  1.374948E+05  6.371709E+04  7.914333E+05
6.237762E-03  7.526734E+07  6.783794E+05  6.580608E+06  1.108020E+07  1.245334E+05  6.554391E+04  8.750111E+05
6.383058E-03  7.403444E+07  7.237870E+05  6.654997E+06  1.061981E+07  1.281039E+05  8.006493E+04  7.045714E+05
6.531738E-03  7.253073E+07  7.010522E+05  6.268783E+06  1.024350E+07  1.627443E+05  1.095394E+05  8.731855E+05
6.683882E-03  7.033533E+07  7.065035E+05  6.095504E+06  1.016019E+07  1.162214E+05  1.009291E+05  7.401465E+05
6.839570E-03  6.893156E+07  6.575443E+05  5.944798E+06  1.000364E+07  1.494419E+05  7.472094E+04  7.621536E+05
6.998884E-03  6.778893E+07  6.425767E+05  5.765666E+06  9.764246E+06  1.285153E+05  7.886169E+04  6.951512E+05
7.161909E-03  6.505276E+07  5.423204E+05  5.939835E+06  9.673283E+06  1.255900E+05  7.992090E+04  7.849374E+05
7.328731E-03  6.404337E+07  6.722323E+05  5.712580E+06  9.291310E+06  1.283099E+05  8.368037E+04  8.312250E+05
7.499439E-03  6.265644E+07  6.323977E+05  5.596175E+06  9.382384E+06  8.722727E+04  7.087216E+04  7.168992E+05
7.674123E-03  6.147528E+07  6.366492E+05  5.394204E+06  8.929072E+06  1.145436E+05  7.192272E+04  7.352100E+05
7.852877E-03  6.007333E+07  6.013320E+05  5.388559E+06  8.832552E+06  8.330140E+04  4.946021E+04  6.794270E+05
8.035794E-03  5.877966E+07  5.851001E+05  5.281164E+06  8.585708E+06  1.373713E+05  7.631740E+04  6.741370E+05
8.222971E-03  5.683260E+07  6.090717E+05  5.208184E+06  8.270945E+06  1.118703E+05  6.463618E+04  6.612778E+05
8.414509E-03  5.511379E+07  6.024958E+05  4.885560E+06  8.366917E+06  1.093238E+05  7.774139E+04  6.608018E+05
8.610508E-03  5.431270E+07  5.056872E+05  4.964281E+06  8.076750E+06  1.020871E+05  5.697883E+04  6.647531E+05
8.811073E-03  5.270286E+07  5.127369E+05  4.723676E+06  7.992664E+06  9.280306E+04  5.568184E+04  7.029832E+05
9.016309E-03  5.102254E+07  5.260055E+05  4.747653E+06  7.572666E+06  7.708702E+04  6.121616E+04  6.302997E+05
9.226326E-03  4.981238E+07  5.251105E+05  4.528801E+06  7.759227E+06  1.085671E+05  6.646968E+04  5.694236E+05
9.441234E-03  4.882791E+07  4.676878E+05  4.540469E+06  7.214518E+06  7.361753E+04  4.546965E+04  5.954359E+05
9.661149E-03  4.749639E+07  5.035925E+05  4.424420E+06  7.164556E+06  8.675333E+04  5.924618E+04  5.776503E+05
9.886186E-03  4.646694E+07  4.921294E+05  4.259607E+06  7.042826E+06  6.203311E+04  7.443974E+04  6.203311E+05
1.011646E-02  4.476462E+07  4.667822E+05  4.308137E+06  6.801684E+06  6.466247E+04  6.062107E+04  6.082314E+05
1.035211E-02  4.434004E+07  4.976258E+05  4.040247E+06  6.950963E+06  7.701351E+04  6.516528E+04  5.667405E+05
1.059324E-02  4.257813E+07  4.187570E+05  3.954069E+06  6.655727E+06  8.297949E+04  6.175218E+04  6.213813E+05
1.083999E-02  4.181637E+07  4.922014E+05  3.877265E+06  6.530626E+06  8.863397E+04  6.034653E+04  5.148313E+05
1.109248E-02  4.093270E+07  4.128101E+05  3.669219E+06  6.264025E+06  1.032025E+05  6.081578E+04  5.897287E+05
1.135086E-02  3.968399E+07  3.818020E+05  3.713565E+06  6.305136E+06  7.924192E+04  3.061620E+04  5.438877E+05
1.161526E-02  3.918547E+07  4.100702E+05  3.724071E+06  5.945138E+06  8.271803E+04  7.039832E+04  5.315073E+05
1.188581E-02  3.809227E+07  4.110553E+05  3.555026E+06  5.909564E+06  7.051576E+04  6.191628E+04  5.383276E+05
1.216267E-02  3.693273E+07  4.067408E+05  3.506038E+06  6.099431E+06  7.395286E+04  4.201867E+04  5.428813E+05
1.244597E-02  3.646489E+07  3.564200E+05  3.422946E+06  5.594316E+06  7.062700E+04  4.270470E+04  5.042439E+05
1.273587E-02  3.564287E+07  3.675681E+05  3.198966E+06  5.616248E+06  6.580913E+04  4.815303E+04  4.943711E+05
1.303253E-02  3.481742E+07  3.670440E+05  3.325356E+06  5.362921E+06  6.274257E+04  5.176262E+04  5.317433E+05
1.333610E-02  3.439277E+07  3.832148E+05  3.225136E+06  5.391066E+06  6.438009E+04  6.131438E+04  4.751864E+05
1.364674E-02  3.326985E+07  3.759898E+05  3.169699E+06  5.212926E+06  5.842072E+04  5.842072E+04  4.568800E+05
1.396461E-02  3.283605E+07  2.957016E+05  2.968727E+06  5.067916E+06  6.001864E+04  5.562704E+04  4.333053E+05
1.428989E-02  3.150638E+07  3.590675E+05  3.145774E+06  5.059847E+06  5.006917E+04  4.005533E+04  4.334559E+05
1.462274E-02  3.132184E+07  3.243324E+05  2.877052E+06  4.811862E+06  6.710325E+04  3.774558E+04  4.753147E+05
1.496335E-02  3.017306E+07  3.224143E+05  2.879870E+06  4.752879E+06  5.054801E+04  5.737882E+04  4.358058E+05
1.531189E-02  2.950360E+07  3.217506E+05  2.755574E+06  4.589953E+06  4.405714E+04  4.405714E+04  4.379012E+05
1.566855E-02  2.888811E+07  2.948565E+05  2.754169E+06  4.571581E+06  4.566362E+04  4.435895E+04  3.900978E+05
1.603352E-02  2.850466E+07  3.085444E+05  2.613703E+06  4.351496E+06  5.737396E+04  5.099908E+04  4.373171E+05
1.640699E-02  2.759043E+07  2.965373E+05  2.520567E+06  4.183917E+06  5.357606E+04  5.357606E+04  4.273625E+05
1.678915E-02  2.685159E+07  2.556946E+05  2.440057E+06  4.195827E+06  4.748615E+04  4.139818E+04  4.212874E+05
1.718022E-02  2.638673E+07  2.796213E+05  2.410692E+06  4.230015E+06  5.949388E+04  2.498743E+04  4.212167E+05
1.758040E-02  2.575935E+07  2.767447E+05  2.326748E+06  4.174426E+06  4.418613E+04  4.302333E+04  4.139542E+05
1.798990E-02  2.523322E+07  2.772631E+05  2.454461E+06  4.056678E+06  4.772562E+04  4.431665E+04  4.136221E+05
1.840894E-02  2.442453E+07  2.787251E+05  2.275329E+06  4.007645E+06  6.440659E+04  4.219742E+04  4.308579E+05
1.883774E-02  2.397817E+07  2.517621E+05  2.306010E+06  3.754727E+06  3.038508E+04  3.798135E+04  4.101985E+05
1.927653E-02  2.350023E+07  2.831481E+05  2.164439E+06  3.732888E+06  3.923775E+04  3.817727E+04  3.732888E+05
1.972553E-02  2.301297E+07  2.580487E+05  2.143151E+06  3.711134E+06  4.456263E+04  4.352629E+04  3.596100E+05
2.018500E-02  2.239900E+07  2.187540E+05  2.138928E+06  3.619569E+06  3.747176E+04  3.443351E+04  3.392713E+05
