# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  12C  13C
9.226E+01  1.352E+03  1.418E+02  1.839E+00
9.441E+01  1.293E+03  1.416E+02  2.087E+00
9.661E+01  1.283E+03  1.313E+02  1.586E+00
9.886E+01  1.248E+03  1.292E+02  1.882E+00
1.012E+02  1.216E+03  1.245E+02  1.353E+00
1.035E+02  1.182E+03  1.234E+02  1.375E+00
1.059E+02  1.154E+03  1.213E+02  1.033E+00
1.084E+02  1.141E+03  1.207E+02  1.767E+00
1.109E+02  1.101E+03  1.174E+02  1.530E+00
1.135E+02  1.083E+03  1.123E+02  1.543E+00
1.162E+02  1.069E+03  1.114E+02  1.414E+00
1.189E+02  1.035E+03  1.077E+02  1.197E+00
1.216E+02  1.010E+03  1.107E+02  1.575E+00
1.245E+02  9.768E+02  1.033E+02  1.715E+00
1.274E+02  9.786E+02  9.639E+01  1.246E+00
1.303E+02  9.485E+02  1.006E+02  1.470E+00
1.334E+02  9.192E+02  9.414E+01  1.272E+00
1.365E+02  8.896E+02  9.312E+01  1.123E+00
1.396E+02  8.747E+02  8.618E+01  1.215E+00
1.429E+02  8.586E+02  8.625E+01  8.426E-01
1.462E+02  8.369E+02  8.856E+01  9.731E-01
1.496E+02  8.170E+02  8.522E+01  1.207E+00
1.531E+02  7.989E+02  8.503E+01  1.287E+00
1.567E+02  7.744E+02  7.929E+01  1.048E+00
1.603E+02  7.614E+02  7.571E+01  8.875E-01
1.641E+02  7.459E+02  7.359E+01  9.007E-01
1.679E+02  7.261E+02  7.136E+01  1.011E+00
1.718E+02  7.053E+02  7.158E+01  1.274E+00
1.758E+02  7.038E+02  6.777E+01  7.783E-01
1.799E+02  6.823E+02  7.000E+01  1.156E+00
1.841E+02  6.594E+02  6.850E+01  1.070E+00
1.884E+02  6.478E+02  6.552E+01  9.007E-01
1.928E+02  6.365E+02  6.249E+01  9.369E-01
1.973E+02  6.230E+02  6.149E+01  7.769E-01
2.019E+02  6.032E+02  5.938E+01  7.321E-01
2.066E+02  5.865E+02  5.811E+01  6.889E-01
2.114E+02  5.783E+02  5.596E+01  5.179E-01
2.163E+02  5.575E+02  5.451E+01  7.844E-01
2.213E+02  5.418E+02  5.287E+01  9.397E-01
2.265E+02  5.373E+02  5.198E+01  6.766E-01
2.318E+02  5.219E+02  5.120E+01  6.612E-01
2.372E+02  5.173E+02  4.823E+01  6.000E-01
2.427E+02  4.989E+02  4.869E+01  6.766E-01
2.483E+02  4.891E+02  4.611E+01  4.849E-01
2.541E+02  4.763E+02  4.693E+01  4.523E-01
2.600E+02  4.627E+02  4.302E+01  6.314E-01
2.661E+02  4.549E+02  4.326E+01  5.759E-01
2.723E+02  4.447E+02  4.309E+01  7.236E-01
2.786E+02  4.343E+02  4.123E+01  3.536E-01
2.851E+02  4.204E+02  3.989E+01  5.183E-01
2.918E+02  4.102E+02  3.814E+01  4.877E-01
2.986E+02  4.023E+02  3.910E+01  4.950E-01
3.055E+02  3.902E+02  3.694E+01  5.374E-01
3.126E+02  3.814E+02  3.673E+01  4.902E-01
3.199E+02  3.699E+02  3.389E+01  4.619E-01
3.274E+02  3.645E+02  3.432E+01  3.678E-01
3.350E+02  3.584E+02  3.274E+01  4.738E-01
3.428E+02  3.460E+02  3.150E+01  4.151E-01
3.508E+02  3.401E+02  3.103E+01  4.213E-01
3.589E+02  3.272E+02  2.987E+01  4.574E-01
3.673E+02  3.201E+02  2.897E+01  4.321E-01
3.759E+02  3.131E+02  2.866E+01  4.805E-01
3.846E+02  3.067E+02  2.729E+01  3.842E-01
3.936E+02  2.989E+02  2.613E+01  3.337E-01
4.027E+02  2.934E+02  2.635E+01  2.990E-01
4.121E+02  2.816E+02  2.547E+01  3.054E-01
4.217E+02  2.770E+02  2.345E+01  4.542E-01
4.315E+02  2.684E+02  2.349E+01  3.297E-01
4.416E+02  2.650E+02  2.383E+01  2.974E-01
4.519E+02  2.593E+02  2.225E+01  2.301E-01
4.624E+02  2.481E+02  2.154E+01  3.196E-01
4.732E+02  2.462E+02  2.103E+01  3.586E-01
4.842E+02  2.379E+02  2.100E+01  3.730E-01
4.955E+02  2.335E+02  1.956E+01  1.105E-01
5.070E+02  2.253E+02  1.924E+01  3.130E-01
5.188E+02  2.211E+02  1.888E+01  2.321E-01
5.309E+02  2.135E+02  1.786E+01  1.649E-01
5.433E+02  2.116E+02  1.816E+01  2.619E-01
5.559E+02  2.056E+02  1.723E+01  2.560E-01
5.689E+02  2.013E+02  1.686E+01  2.213E-01
5.821E+02  1.945E+02  1.642E+01  2.256E-01
5.957E+02  1.894E+02  1.564E+01  1.654E-01
6.096E+02  1.852E+02  1.509E+01  1.975E-01
6.238E+02  1.796E+02  1.529E+01  2.632E-01
6.383E+02  1.734E+02  1.495E+01  1.972E-01
6.532E+02  1.687E+02  1.381E+01  2.262E-01
6.684E+02  1.654E+02  1.417E+01  2.047E-01
6.840E+02  1.631E+02  1.314E+01  2.321E-01
6.999E+02  1.571E+02  1.323E+01  1.095E-01
7.162E+02  1.543E+02  1.255E+01  1.605E-01
7.329E+02  1.501E+02  1.205E+01  1.494E-01
7.499E+02  1.446E+02  1.218E+01  2.189E-01
7.674E+02  1.441E+02  1.143E+01  1.783E-01
7.853E+02  1.384E+02  1.117E+01  1.255E-01
8.036E+02  1.359E+02  1.059E+01  1.498E-01
8.223E+02  1.309E+02  1.039E+01  1.731E-01
8.415E+02  1.278E+02  1.052E+01  1.626E-01
8.611E+02  1.238E+02  9.795E+00  1.398E-01
8.811E+02  1.224E+02  9.814E+00  1.056E-01
9.016E+02  1.176E+02  9.876E+00  1.214E-01
9.226E+02  1.146E+02  9.301E+00  1.424E-01
9.441E+02  1.115E+02  9.171E+00  1.333E-01
9.661E+02  1.075E+02  8.622E+00  9.631E-02
9.886E+02  1.060E+02  8.642E+00  9.411E-02
