# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  12C  13C
1.334E-02  9.428E+06  3.103E+05  3.694E+03
1.365E-02  9.169E+06  2.996E+05  3.609E+03
1.396E-02  9.074E+06  2.975E+05  6.271E+03
1.429E-02  8.675E+06  2.815E+05  2.681E+03
1.462E-02  8.568E+06  2.983E+05  6.737E+03
1.496E-02  8.444E+06  2.857E+05  3.292E+03
1.531E-02  8.139E+06  2.863E+05  2.860E+03
1.567E-02  8.048E+06  2.686E+05  3.493E+03
1.603E-02  7.882E+06  2.605E+05  2.048E+03
1.641E-02  7.641E+06  2.462E+05  3.669E+03
1.679E-02  7.463E+06  2.500E+05  3.912E+03
1.718E-02  7.224E+06  2.453E+05  2.549E+03
1.758E-02  7.060E+06  2.441E+05  3.424E+03
1.799E-02  7.062E+06  2.403E+05  3.042E+03
1.841E-02  6.836E+06  2.423E+05  2.676E+03
1.884E-02  6.685E+06  2.185E+05  3.777E+03
1.928E-02  6.497E+06  2.212E+05  2.839E+03
1.973E-02  6.393E+06  2.123E+05  2.497E+03
2.019E-02  6.217E+06  2.058E+05  4.881E+03
2.066E-02  6.115E+06  1.993E+05  3.180E+03
2.114E-02  5.899E+06  1.968E+05  2.330E+03
2.163E-02  5.802E+06  1.875E+05  2.277E+03
2.213E-02  5.697E+06  1.872E+05  2.473E+03
2.265E-02  5.522E+06  1.989E+05  2.175E+03
2.318E-02  5.435E+06  1.911E+05  2.834E+03
2.372E-02  5.279E+06  1.692E+05  2.769E+03
2.427E-02  5.154E+06  1.712E+05  1.804E+03
2.483E-02  5.034E+06  1.739E+05  1.543E+03
2.541E-02  4.948E+06  1.809E+05  2.585E+03
2.600E-02  4.798E+06  1.703E+05  1.894E+03
2.661E-02  4.756E+06  1.619E+05  2.674E+03
2.723E-02  4.580E+06  1.602E+05  3.015E+03
2.786E-02  4.454E+06  1.520E+05  2.554E+03
2.851E-02  4.398E+06  1.428E+05  2.879E+03
2.918E-02  4.277E+06  1.405E+05  1.501E+03
2.986E-02  4.212E+06  1.432E+05  1.467E+03
3.055E-02  4.083E+06  1.422E+05  2.508E+03
3.126E-02  4.058E+06  1.346E+05  1.576E+03
3.199E-02  3.946E+06  1.382E+05  1.026E+03
3.274E-02  3.817E+06  1.419E+05  2.006E+03
3.350E-02  3.717E+06  1.315E+05  1.307E+03
3.428E-02  3.683E+06  1.236E+05  1.437E+03
3.508E-02  3.569E+06  1.192E+05  1.092E+03
3.589E-02  3.542E+06  1.205E+05  2.592E+03
3.673E-02  3.418E+06  1.150E+05  1.937E+03
3.759E-02  3.333E+06  1.204E+05  1.019E+03
3.846E-02  3.247E+06  1.171E+05  1.138E+03
3.936E-02  3.211E+06  1.117E+05  5.562E+02
4.027E-02  3.131E+06  1.046E+05  9.513E+02
4.121E-02  3.055E+06  1.040E+05  7.968E+02
4.217E-02  2.935E+06  1.056E+05  1.817E+03
4.315E-02  2.903E+06  1.048E+05  1.015E+03
4.416E-02  2.839E+06  9.568E+04  7.436E+02
4.519E-02  2.759E+06  9.726E+04  1.211E+03
4.624E-02  2.699E+06  9.540E+04  1.184E+03
4.732E-02  2.638E+06  9.253E+04  1.735E+03
4.842E-02  2.581E+06  9.653E+04  1.356E+03
4.955E-02  2.507E+06  8.870E+04  1.215E+03
5.070E-02  2.499E+06  8.679E+04  1.079E+03
5.188E-02  2.444E+06  9.125E+04  1.160E+03
5.309E-02  2.371E+06  8.422E+04  1.031E+03
5.433E-02  2.345E+06  7.737E+04  8.059E+02
5.559E-02  2.247E+06  8.171E+04  3.938E+02
5.689E-02  2.215E+06  7.879E+04  2.020E+03
5.821E-02  2.178E+06  7.371E+04  1.316E+03
5.957E-02  2.111E+06  7.240E+04  5.513E+02
6.096E-02  2.044E+06  7.569E+04  1.167E+03
6.238E-02  1.999E+06  7.168E+04  7.897E+02
6.383E-02  1.982E+06  6.842E+04  1.200E+03
6.532E-02  1.941E+06  7.365E+04  1.676E+03
6.684E-02  1.874E+06  6.854E+04  8.188E+02
6.840E-02  1.835E+06  6.586E+04  1.120E+03
6.999E-02  1.773E+06  6.303E+04  7.038E+02
7.162E-02  1.754E+06  6.855E+04  5.349E+02
7.329E-02  1.714E+06  5.967E+04  5.228E+02
7.499E-02  1.672E+06  6.203E+04  8.028E+02
7.674E-02  1.650E+06  5.991E+04  7.845E+02
7.853E-02  1.593E+06  5.840E+04  1.045E+03
8.036E-02  1.563E+06  5.796E+04  1.158E+03
8.223E-02  1.525E+06  5.584E+04  9.318E+02
8.415E-02  1.492E+06  5.743E+04  1.106E+03
8.611E-02  1.450E+06  5.670E+04  6.992E+02
8.811E-02  1.427E+06  5.298E+04  5.590E+02
9.016E-02  1.382E+06  4.984E+04  8.498E+02
9.226E-02  1.369E+06  5.540E+04  4.746E+02
9.441E-02  1.325E+06  5.101E+04  8.695E+02
9.661E-02  1.300E+06  4.951E+04  5.099E+02
9.886E-02  1.279E+06  4.733E+04  7.197E+02
1.012E-01  1.246E+06  4.853E+04  3.787E+02
1.035E-01  1.209E+06  4.504E+04  4.230E+02
1.059E-01  1.171E+06  4.557E+04  5.167E+02
1.084E-01  1.154E+06  4.403E+04  6.564E+02
