# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  O16  Mg24  Mg25  Mg26  Cl35  Cl37
3.126287E-03  5.364156E+07  1.279004E+06  1.508807E+05  2.321241E+03  1.392745E+04  1.211688E+06  2.327110E+03
3.199107E-03  5.199633E+07  1.152349E+06  1.315674E+05  6.805209E+03  9.073612E+03  1.220401E+06  1.516092E+03
3.273624E-03  5.175266E+07  1.174887E+06  1.152719E+05  0.000000E+00  8.867071E+03  1.161586E+06  1.481582E+03
3.349876E-03  5.052913E+07  1.171973E+06  1.213132E+05  1.299785E+04  1.083154E+04  1.195802E+06  1.809821E+03
3.427905E-03  4.911009E+07  1.238443E+06  1.185518E+05  2.116997E+03  4.233994E+03  1.098721E+06  7.074499E+02
3.507751E-03  4.817220E+07  1.067505E+06  1.344725E+05  8.275232E+03  1.241285E+04  1.110950E+06  2.074039E+03
3.589457E-03  4.664302E+07  1.083640E+06  1.435419E+05  1.415201E+04  1.415201E+04  1.065444E+06  2.364633E+03
3.673066E-03  4.526123E+07  9.977267E+05  1.165661E+05  3.951393E+03  7.902786E+03  1.078730E+06  1.320461E+03
3.758623E-03  4.418848E+07  9.923922E+05  9.653620E+04  9.653620E+03  1.158434E+04  1.003977E+06  1.935606E+03
3.846173E-03  4.393545E+07  1.109424E+06  1.283007E+05  7.547102E+03  1.320743E+04  1.047160E+06  2.206804E+03
3.935762E-03  4.210379E+07  9.882914E+05  1.087858E+05  3.687654E+03  9.219136E+03  9.735407E+05  1.540408E+03
4.027437E-03  4.170397E+07  9.639932E+05  1.189225E+05  3.603713E+03  9.009283E+03  9.549840E+05  1.505344E+03
4.121248E-03  4.022290E+07  9.702235E+05  1.091722E+05  3.521683E+03  7.043365E+03  8.839423E+05  1.176862E+03
4.217245E-03  3.991302E+07  9.102818E+05  1.342193E+05  5.162279E+03  8.603798E+03  9.120026E+05  1.437592E+03
4.315477E-03  3.877243E+07  8.929245E+05  1.025770E+05  8.407952E+03  1.177113E+04  9.181483E+05  1.966816E+03
4.415997E-03  3.805255E+07  8.956054E+05  8.052232E+04  9.859876E+03  1.314650E+04  8.660258E+05  2.196624E+03
4.518859E-03  3.729075E+07  9.298198E+05  1.108075E+05  4.817719E+03  8.029532E+03  8.993075E+05  1.341639E+03
4.624117E-03  3.611392E+07  8.552965E+05  1.082852E+05  4.708054E+03  1.569351E+03  8.286176E+05  2.622199E+02
4.731826E-03  3.549737E+07  7.821506E+05  9.201772E+04  4.600886E+03  6.134515E+03  8.189577E+05  1.025004E+03
4.842045E-03  3.450800E+07  7.853287E+05  9.591802E+04  7.493595E+03  1.198975E+04  8.797480E+05  2.003345E+03
4.954830E-03  3.392755E+07  7.484126E+05  7.908861E+04  2.929208E+03  5.858416E+03  7.528064E+05  9.788715E+02
5.070243E-03  3.273018E+07  8.072338E+05  1.016199E+05  4.293797E+03  2.862531E+03  7.499831E+05  4.782948E+02
5.188344E-03  3.238378E+07  7.301141E+05  9.790802E+04  4.196058E+03  6.993430E+03  7.580878E+05  1.168519E+03
5.309196E-03  3.122427E+07  7.203289E+05  6.697555E+04  1.366848E+03  1.093478E+04  6.943588E+05  1.827072E+03
5.432863E-03  3.053222E+07  7.613688E+05  7.212967E+04  1.335735E+03  4.007204E+03  7.226325E+05  6.695561E+02
5.559411E-03  3.016747E+07  6.879087E+05  7.962511E+04  2.610659E+03  7.831978E+03  7.453432E+05  1.308630E+03
5.688906E-03  2.948461E+07  7.079673E+05  8.036385E+04  3.826850E+03  6.378084E+03  7.615432E+05  1.065702E+03
5.821418E-03  2.891567E+07  6.656738E+05  7.728797E+04  3.739740E+03  4.986321E+03  7.105507E+05  8.331548E+02
5.957016E-03  2.757893E+07  6.846309E+05  7.918329E+04  4.872818E+03  7.309227E+03  7.053404E+05  1.221285E+03
6.095773E-03  2.729997E+07  6.452373E+05  7.738086E+04  7.142849E+03  1.071427E+04  6.988087E+05  1.790227E+03
6.237762E-03  2.662387E+07  6.072824E+05  7.096595E+04  2.326753E+03  1.047039E+04  6.573076E+05  1.749477E+03
6.383058E-03  2.609742E+07  6.241551E+05  7.048747E+04  2.273789E+03  6.821368E+03  6.468930E+05  1.139769E+03
6.531738E-03  2.562224E+07  5.988375E+05  7.666009E+04  4.444063E+03  6.666094E+03  6.177247E+05  1.113825E+03
6.683882E-03  2.506724E+07  5.808634E+05  6.405783E+04  1.085726E+03  7.600082E+03  6.199495E+05  1.269883E+03
6.839570E-03  2.470566E+07  6.206919E+05  7.108779E+04  3.183035E+03  6.366071E+03  5.740074E+05  1.063695E+03
6.998884E-03  2.371921E+07  5.650888E+05  6.843277E+04  3.110581E+03  8.294882E+03  5.381305E+05  1.385976E+03
7.161909E-03  2.352786E+07  5.380402E+05  5.674247E+04  1.013258E+03  5.066292E+03  5.633717E+05  8.465170E+02
7.328731E-03  2.281902E+07  5.733222E+05  6.436260E+04  3.960775E+03  5.941163E+03  5.753026E+05  9.926976E+02
7.499439E-03  2.234410E+07  5.235010E+05  6.192987E+04  1.935309E+03  2.902963E+03  5.728513E+05  4.850505E+02
7.674123E-03  2.184116E+07  5.191496E+05  6.430269E+04  1.891256E+03  4.728139E+03  5.380622E+05  7.900157E+02
7.852877E-03  2.129317E+07  5.341313E+05  6.838360E+04  6.468718E+03  4.620513E+03  5.526134E+05  7.720327E+02
8.035794E-03  2.067934E+07  5.174577E+05  6.050552E+04  3.612270E+03  1.083681E+04  4.768196E+05  1.810702E+03
8.222971E-03  2.027922E+07  4.721435E+05  6.883587E+04  7.060089E+03  6.177578E+03  4.933237E+05  1.032200E+03
8.414509E-03  1.977794E+07  5.157288E+05  4.484598E+04  1.724846E+03  3.449691E+03  5.027925E+05  5.764023E+02
8.610508E-03  1.934712E+07  4.787056E+05  6.236658E+04  2.528375E+03  4.213958E+03  5.073606E+05  7.041022E+02
8.811073E-03  1.897344E+07  4.455716E+05  3.459151E+04  8.236073E+02  6.588859E+03  4.941644E+05  1.100920E+03
9.016309E-03  1.855926E+07  4.603798E+05  4.829159E+04  1.609720E+03  4.829159E+03  4.805013E+05  8.068949E+02
9.226326E-03  1.819186E+07  4.341695E+05  4.719233E+04  2.359617E+03  7.865389E+02  4.333829E+05  1.314213E+02
9.441234E-03  1.742573E+07  4.473456E+05  3.381994E+04  1.537270E+03  3.074540E+03  4.573379E+05  5.137191E+02
9.661149E-03  1.699376E+07  4.251446E+05  3.905922E+04  3.004555E+03  2.253416E+03  4.078684E+05  3.765191E+02
9.886186E-03  1.676769E+07  4.169352E+05  3.963820E+04  1.468082E+03  4.404245E+03  4.308820E+05  7.358969E+02
1.011646E-02  1.651800E+07  4.124659E+05  5.738656E+04  1.434664E+03  3.586660E+03  4.153352E+05  5.992882E+02
1.035211E-02  1.585530E+07  3.687279E+05  4.556523E+04  2.804014E+03  5.608028E+03  3.960670E+05  9.370347E+02
1.059324E-02  1.569305E+07  3.795159E+05  4.178785E+04  2.740187E+03  5.480374E+03  4.165084E+05  9.157052E+02
1.083999E-02  1.538002E+07  3.621742E+05  4.083664E+04  2.677813E+03  4.016719E+03  4.157304E+05  6.711459E+02
1.109248E-02  1.493637E+07  3.735565E+05  3.925287E+04  1.308429E+03  4.579502E+03  3.768276E+05  7.651802E+02
1.135086E-02  1.466670E+07  3.503489E+05  3.132682E+04  5.753905E+03  3.196614E+03  3.676106E+05  5.341161E+02
1.161526E-02  1.441782E+07  3.355015E+05  4.185959E+04  1.249540E+03  4.998160E+03  3.679896E+05  8.351331E+02
1.188581E-02  1.397424E+07  3.443494E+05  3.419072E+04  1.831646E+03  3.052743E+03  3.950249E+05  5.100770E+02
1.216267E-02  1.370507E+07  3.496374E+05  3.937895E+04  1.789952E+03  1.789952E+03  3.860331E+05  2.990797E+02
1.244597E-02  1.324792E+07  3.148574E+05  4.023178E+04  2.915347E+03  2.332277E+03  3.445940E+05  3.896958E+02
1.273587E-02  1.308995E+07  3.093998E+05  3.646701E+04  1.709391E+03  4.558377E+03  3.435876E+05  7.616504E+02
1.303253E-02  1.272015E+07  3.240733E+05  4.064836E+04  1.113654E+03  4.454615E+03  3.485736E+05  7.443131E+02
1.333610E-02  1.265752E+07  3.188731E+05  2.992836E+04  1.088304E+03  4.897368E+03  3.150640E+05  8.182918E+02
1.364674E-02  1.224443E+07  3.126782E+05  2.924711E+04  2.127062E+03  3.722359E+03  3.429888E+05  6.219618E+02
1.396461E-02  1.189764E+07  2.821760E+05  3.325831E+04  2.598306E+03  2.078644E+03  3.180326E+05  3.473167E+02
1.428989E-02  1.173143E+07  2.772764E+05  2.945427E+04  2.031329E+03  3.046993E+03  3.351692E+05  5.091162E+02
