# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Co59
4.518859E-03  1.060514E+07  4.002026E+05  3.709874E+03  0.000000E+00  3.060646E+04
4.624117E-03  1.048881E+07  3.933588E+05  4.984962E+03  0.000000E+00  3.353520E+04
4.731826E-03  1.005608E+07  3.658046E+05  7.085804E+03  0.000000E+00  3.011467E+04
4.842045E-03  9.992070E+06  3.553140E+05  6.058947E+03  0.000000E+00  3.505534E+04
4.954830E-03  9.776464E+06  3.666809E+05  5.921029E+03  0.000000E+00  3.933255E+04
5.070243E-03  9.458038E+06  3.699067E+05  5.372946E+03  0.000000E+00  3.058446E+04
5.188344E-03  9.315448E+06  3.477541E+05  4.442852E+03  0.000000E+00  3.271554E+04
5.309196E-03  8.992886E+06  3.524687E+05  7.894037E+03  0.000000E+00  3.315495E+04
5.432863E-03  8.831384E+06  3.290169E+05  4.628608E+03  0.000000E+00  2.931452E+04
5.559411E-03  8.700844E+06  3.196428E+05  4.523248E+03  0.000000E+00  3.467823E+04
5.688906E-03  8.450482E+06  3.046314E+05  3.683572E+03  0.000000E+00  2.873186E+04
5.821418E-03  8.217089E+06  3.156957E+05  3.239751E+03  0.000000E+00  2.915776E+04
5.957016E-03  8.027231E+06  2.905689E+05  6.332011E+03  0.000000E+00  3.377072E+04
6.095773E-03  7.889199E+06  3.028622E+05  3.437709E+03  0.000000E+00  2.750167E+04
6.237762E-03  7.698533E+06  3.087341E+05  3.023512E+03  0.000000E+00  2.956322E+04
6.383058E-03  7.562688E+06  2.859481E+05  5.909376E+03  0.000000E+00  2.823369E+04
6.531738E-03  7.417811E+06  2.637187E+05  3.849908E+03  0.000000E+00  2.823266E+04
6.683882E-03  7.246453E+06  2.768406E+05  3.135228E+03  0.000000E+00  2.884410E+04
6.839570E-03  7.087325E+06  2.628793E+05  3.676634E+03  0.000000E+00  2.481728E+04
6.998884E-03  6.936177E+06  2.547996E+05  2.994120E+03  0.000000E+00  2.485119E+04
7.161909E-03  6.689634E+06  2.592405E+05  4.096351E+03  0.000000E+00  2.370032E+04
7.328731E-03  6.624284E+06  2.470489E+05  4.860915E+03  0.000000E+00  2.544832E+04
7.499439E-03  6.409787E+06  2.302483E+05  4.750267E+03  0.000000E+00  2.207477E+04
7.674123E-03  6.188243E+06  2.517677E+05  3.003736E+03  0.000000E+00  2.676056E+04
7.852877E-03  6.034039E+06  2.332279E+05  3.735917E+03  0.000000E+00  2.508401E+04
8.035794E-03  5.933979E+06  2.386109E+05  5.215538E+03  0.000000E+00  2.503458E+04
8.222971E-03  5.855479E+06  2.329246E+05  3.567773E+03  0.000000E+00  2.344536E+04
8.414509E-03  5.791426E+06  2.251322E+05  3.237520E+03  0.000000E+00  2.565112E+04
8.610508E-03  5.587072E+06  2.122197E+05  4.380681E+03  0.000000E+00  2.092992E+04
8.811073E-03  5.458943E+06  2.095294E+05  3.091808E+03  0.000000E+00  2.735061E+04
9.016309E-03  5.299820E+06  1.973226E+05  3.718683E+03  0.000000E+00  2.417144E+04
9.226326E-03  5.243231E+06  1.987363E+05  2.271272E+03  0.000000E+00  1.930581E+04
9.441234E-03  5.102129E+06  1.922149E+05  2.663486E+03  0.000000E+00  2.108593E+04
9.661149E-03  4.935668E+06  1.897917E+05  3.470477E+03  0.000000E+00  2.103976E+04
9.886186E-03  4.860625E+06  1.833518E+05  2.119674E+03  0.000000E+00  2.077281E+04
1.011646E-02  4.811712E+06  1.870496E+05  2.485710E+03  0.000000E+00  1.967853E+04
1.035211E-02  4.703804E+06  1.718608E+05  3.036410E+03  0.000000E+00  1.720632E+04
1.059324E-02  4.515626E+06  1.831809E+05  3.362932E+03  0.000000E+00  1.839721E+04
1.083999E-02  4.451115E+06  1.668322E+05  3.479699E+03  0.000000E+00  1.797844E+04
1.109248E-02  4.342994E+06  1.653016E+05  2.644826E+03  0.000000E+00  1.794704E+04
1.135086E-02  4.220689E+06  1.565543E+05  2.400007E+03  0.000000E+00  1.680005E+04
1.161526E-02  4.057861E+06  1.589443E+05  2.886617E+03  0.000000E+00  1.713929E+04
1.188581E-02  4.022617E+06  1.731333E+05  2.820909E+03  0.000000E+00  1.569131E+04
1.216267E-02  3.945006E+06  1.590270E+05  3.445872E+03  0.000000E+00  1.878000E+04
1.244597E-02  3.851840E+06  1.510294E+05  2.188832E+03  0.000000E+00  2.054135E+04
1.273587E-02  3.748036E+06  1.520341E+05  2.632626E+03  0.000000E+00  1.694753E+04
1.303253E-02  3.738937E+06  1.418201E+05  1.929525E+03  0.000000E+00  1.575779E+04
1.333610E-02  3.602603E+06  1.409489E+05  4.242608E+03  0.000000E+00  1.555623E+04
1.364674E-02  3.574035E+06  1.345158E+05  2.149796E+03  0.000000E+00  1.335944E+04
1.396461E-02  3.430705E+06  1.335547E+05  3.301352E+03  0.000000E+00  1.365559E+04
1.428989E-02  3.327096E+06  1.322744E+05  1.759748E+03  0.000000E+00  1.319811E+04
1.462274E-02  3.302810E+06  1.347091E+05  1.719691E+03  0.000000E+00  1.418745E+04
1.496335E-02  3.200740E+06  1.155375E+05  2.800910E+03  0.000000E+00  1.428464E+04
1.531189E-02  3.114470E+06  1.166027E+05  1.368577E+03  0.000000E+00  1.532806E+04
1.566855E-02  3.062701E+06  1.287939E+05  2.273621E+03  0.000000E+00  1.176933E+04
1.603352E-02  3.028535E+06  1.117468E+05  1.699075E+03  0.000000E+00  1.320050E+04
1.640699E-02  2.950657E+06  1.178883E+05  2.171291E+03  0.000000E+00  1.290002E+04
1.678915E-02  2.845173E+06  1.143312E+05  1.997051E+03  0.000000E+00  1.273120E+04
1.718022E-02  2.828589E+06  1.102650E+05  2.805414E+03  0.000000E+00  1.280733E+04
1.758040E-02  2.739529E+06  1.102582E+05  1.787971E+03  0.000000E+00  1.203900E+04
1.798990E-02  2.658532E+06  1.065836E+05  1.863756E+03  0.000000E+00  1.223090E+04
1.840894E-02  2.612359E+06  1.004009E+05  1.707499E+03  0.000000E+00  1.320466E+04
1.883774E-02  2.551115E+06  1.022315E+05  1.223663E+03  0.000000E+00  1.090172E+04
1.927653E-02  2.506959E+06  1.053399E+05  1.739359E+03  0.000000E+00  1.087099E+04
1.972553E-02  2.432471E+06  9.582430E+04  1.274824E+03  0.000000E+00  1.115471E+04
2.018500E-02  2.389144E+06  9.530415E+04  1.245806E+03  0.000000E+00  1.027790E+04
2.065517E-02  2.333949E+06  9.191732E+04  1.014540E+03  0.000000E+00  9.841037E+03
2.113629E-02  2.267834E+06  8.734641E+04  6.940123E+02  0.000000E+00  1.269051E+04
2.162862E-02  2.248669E+06  8.923367E+04  1.065766E+03  0.000000E+00  1.172342E+04
2.213241E-02  2.164723E+06  9.080040E+04  1.798965E+03  0.000000E+00  9.562920E+03
2.264794E-02  2.089540E+06  8.568013E+04  1.850543E+03  0.000000E+00  1.045557E+04
2.317548E-02  2.069917E+06  8.146929E+04  1.356314E+03  0.000000E+00  9.313359E+03
2.371531E-02  2.046746E+06  7.987991E+04  1.590529E+03  0.000000E+00  1.095698E+04
2.426771E-02  1.976582E+06  8.591959E+04  7.771622E+02  0.000000E+00  1.079392E+04
2.483298E-02  1.944585E+06  8.008208E+04  1.940872E+03  0.000000E+00  1.071699E+04
2.541141E-02  1.880200E+06  7.652743E+04  1.484368E+03  0.000000E+00  9.895788E+03
2.600332E-02  1.842156E+06  7.962072E+04  9.670532E+02  0.000000E+00  9.187006E+03
2.660901E-02  1.799593E+06  7.528822E+04  1.260054E+03  0.000000E+00  9.450404E+03
2.722882E-02  1.773637E+06  6.857200E+04  1.308332E+03  0.000000E+00  9.312247E+03
2.786306E-02  1.730556E+06  7.039551E+04  1.128133E+03  0.000000E+00  9.250693E+03
2.851207E-02  1.673157E+06  7.107152E+04  1.469938E+03  0.000000E+00  8.525643E+03
2.917620E-02  1.654033E+06  6.780179E+04  1.508302E+03  0.000000E+00  9.193462E+03
