# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
4.518859E-03  1.121374E+08  1.223033E+05  1.394257E+06  4.442055E+06  4.158311E+05
4.624117E-03  1.087578E+08  1.625463E+05  1.271685E+06  4.321818E+06  3.824618E+05
4.731826E-03  1.074268E+08  1.074548E+05  1.196019E+06  4.298193E+06  3.457242E+05
4.842045E-03  1.042555E+08  1.095745E+05  1.241844E+06  3.958377E+06  3.606826E+05
4.954830E-03  1.024936E+08  1.383120E+05  1.258193E+06  4.069049E+06  3.970892E+05
5.070243E-03  1.010806E+08  1.482440E+05  1.255714E+06  4.172631E+06  3.095683E+05
5.188344E-03  9.750144E+07  1.278260E+05  1.163217E+06  3.992433E+06  3.280868E+05
5.309196E-03  9.543610E+07  1.623913E+05  1.174214E+06  3.822441E+06  3.414381E+05
5.432863E-03  9.416705E+07  1.464875E+05  1.053896E+06  3.796468E+06  3.336660E+05
5.559411E-03  9.080675E+07  9.145889E+04  1.029907E+06  3.733909E+06  2.902826E+05
5.688906E-03  8.918662E+07  1.282366E+05  1.204647E+06  3.524564E+06  3.575081E+05
5.821418E-03  8.720585E+07  1.405076E+05  1.013933E+06  3.524082E+06  3.645602E+05
5.957016E-03  8.661987E+07  1.113318E+05  1.050230E+06  3.514375E+06  3.302844E+05
6.095773E-03  8.356744E+07  8.341150E+04  9.429126E+05  3.492403E+06  2.901269E+05
6.237762E-03  8.188140E+07  1.134091E+05  9.816979E+05  3.409362E+06  2.516265E+05
6.383058E-03  8.005218E+07  1.073643E+05  9.697418E+05  3.231318E+06  2.562889E+05
6.531738E-03  7.831797E+07  1.150739E+05  8.867463E+05  3.235609E+06  3.046075E+05
6.683882E-03  7.619457E+07  1.058396E+05  8.698689E+05  3.148727E+06  2.216016E+05
6.839570E-03  7.398180E+07  9.373377E+04  8.791581E+05  3.054428E+06  2.262539E+05
6.998884E-03  7.274629E+07  9.791738E+04  8.244011E+05  3.019646E+06  2.526900E+05
7.161909E-03  7.200097E+07  8.025488E+04  8.303293E+05  2.892262E+06  2.469381E+05
7.328731E-03  6.957775E+07  6.334573E+04  7.601488E+05  2.959151E+06  2.563994E+05
7.499439E-03  6.795564E+07  7.959061E+04  7.428457E+05  2.753246E+06  2.446674E+05
7.674123E-03  6.655570E+07  7.489821E+04  7.172944E+05  2.759711E+06  2.851893E+05
7.852877E-03  6.430877E+07  8.163870E+04  7.291180E+05  2.708153E+06  2.055043E+05
8.035794E-03  6.370050E+07  1.072909E+05  7.400318E+05  2.508955E+06  2.778558E+05
8.222971E-03  6.152463E+07  1.048486E+05  7.635130E+05  2.470663E+06  2.285162E+05
8.414509E-03  6.078096E+07  6.305352E+04  7.356244E+05  2.396034E+06  2.285690E+05
8.610508E-03  5.947188E+07  7.959023E+04  6.392893E+05  2.513511E+06  2.079616E+05
8.811073E-03  5.803784E+07  1.003594E+05  6.247373E+05  2.368482E+06  2.107547E+05
9.016309E-03  5.599589E+07  6.129684E+04  6.448428E+05  2.304761E+06  2.746098E+05
