# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
4.518859E-03  1.849609E+08  8.062919E+06  8.103436E+04  5.802060E+06  7.536195E+05
4.624117E-03  1.811942E+08  7.982331E+06  1.346226E+05  5.242364E+06  6.731132E+05
4.731826E-03  1.789425E+08  7.258921E+06  1.625131E+05  5.339718E+06  6.500526E+05
4.842045E-03  1.735760E+08  7.623067E+06  9.831336E+04  5.407235E+06  5.445048E+05
4.954830E-03  1.710513E+08  7.368250E+06  1.404180E+05  5.476302E+06  6.060146E+05
5.070243E-03  1.677933E+08  6.983862E+06  9.388853E+04  4.990537E+06  5.127758E+05
5.188344E-03  1.635998E+08  7.086029E+06  1.129248E+05  4.954574E+06  5.293348E+05
5.309196E-03  1.591516E+08  6.786788E+06  7.586857E+04  4.579703E+06  6.069485E+05
5.432863E-03  1.552120E+08  6.564901E+06  6.740144E+04  4.549598E+06  4.111488E+05
5.559411E-03  1.528778E+08  6.698694E+06  9.221408E+04  4.874173E+06  6.191517E+05
5.688906E-03  1.478080E+08  6.765064E+06  1.416093E+05  4.267590E+06  5.728741E+05
5.821418E-03  1.452234E+08  6.277688E+06  6.919296E+04  4.390608E+06  5.346728E+05
5.957016E-03  1.416965E+08  6.245438E+06  7.376502E+04  4.247636E+06  4.487372E+05
6.095773E-03  1.383389E+08  6.241439E+06  7.809308E+04  4.078862E+06  4.565442E+05
6.237762E-03  1.353719E+08  5.770623E+06  8.218589E+04  4.173869E+06  4.344111E+05
6.383058E-03  1.307473E+08  5.576163E+06  1.089991E+05  4.153438E+06  4.818906E+05
6.531738E-03  1.285391E+08  5.544540E+06  6.727450E+04  4.322386E+06  5.157711E+05
6.683882E-03  1.263693E+08  5.303280E+06  6.574314E+04  4.065118E+06  4.163732E+05
6.839570E-03  1.235998E+08  5.477026E+06  5.353887E+04  3.624582E+06  4.657882E+05
6.998884E-03  1.209486E+08  5.232018E+06  6.278421E+04  3.704269E+06  4.447215E+05
