# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
2.722882E-03  3.436739E+07  9.337048E+06  7.040906E+05  8.311558E+05  4.933119E+04  3.139257E+04  1.777418E+06  1.943350E+04
2.786306E-03  3.368443E+07  9.311501E+06  6.588464E+05  8.107755E+05  6.719941E+04  2.921713E+04  1.723811E+06  1.753028E+04
2.851207E-03  3.255650E+07  8.932516E+06  6.666909E+05  7.980304E+05  6.566976E+04  4.425571E+04  1.830188E+06  1.142083E+04
2.917620E-03  3.216001E+07  8.818474E+06  6.612809E+05  8.217182E+05  4.603854E+04  3.208747E+04  1.713192E+06  2.790215E+04
2.985580E-03  3.132980E+07  8.492312E+06  6.680419E+05  7.457529E+05  5.044398E+04  3.408377E+04  1.640111E+06  1.772356E+04
3.055124E-03  3.076320E+07  8.295007E+06  5.782257E+05  7.860671E+05  4.529878E+04  3.730488E+04  1.594784E+06  2.531403E+04
3.126287E-03  2.993535E+07  8.201235E+06  5.819895E+05  7.226044E+05  5.598557E+04  2.734179E+04  1.640507E+06  1.952985E+04
3.199107E-03  2.907963E+07  7.970019E+06  6.030953E+05  6.654406E+05  5.471118E+04  3.180883E+04  1.614616E+06  1.908530E+04
3.273624E-03  2.870119E+07  7.599604E+06  5.644994E+05  7.186798E+05  6.589971E+04  1.865086E+04  1.566672E+06  1.243391E+04
3.349876E-03  2.778906E+07  7.696365E+06  5.504347E+05  6.792340E+05  5.103368E+04  3.402246E+04  1.466611E+06  1.701123E+04
3.427905E-03  2.721231E+07  7.318124E+06  5.664036E+05  6.792093E+05  4.512230E+04  2.493601E+04  1.462912E+06  1.543658E+04
3.507751E-03  2.645479E+07  7.423077E+06  5.384255E+05  6.347387E+05  6.498239E+04  2.320799E+04  1.397121E+06  1.276440E+04
3.589457E-03  2.588323E+07  7.110091E+06  4.978198E+05  6.679176E+05  4.649342E+04  2.948363E+04  1.370989E+06  6.803915E+03
3.673066E-03  2.541152E+07  7.024710E+06  4.997861E+05  6.061707E+05  3.546154E+04  2.437981E+04  1.436192E+06  2.105529E+04
3.758623E-03  2.505075E+07  6.791167E+06  5.241469E+05  6.161974E+05  4.440087E+04  2.057601E+04  1.382925E+06  1.082948E+04
3.846173E-03  2.429321E+07  6.670447E+06  5.122158E+05  6.032294E+05  4.127359E+04  2.539913E+04  1.358854E+06  2.116594E+04
3.935762E-03  2.399878E+07  6.550669E+06  4.850433E+05  6.205244E+05  4.447092E+04  2.378677E+04  1.333093E+06  2.792360E+04
4.027437E-03  2.318164E+07  6.351025E+06  4.841090E+05  6.013462E+05  3.941597E+04  2.425598E+04  1.250194E+06  1.819199E+04
4.121248E-03  2.258582E+07  6.104729E+06  4.898795E+05  5.767937E+05  4.642004E+04  1.481491E+04  1.307662E+06  1.382725E+04
4.217245E-03  2.225798E+07  6.169421E+06  4.739026E+05  5.742812E+05  4.922410E+04  1.544286E+04  1.291409E+06  1.544286E+04
4.315477E-03  2.166078E+07  5.859210E+06  4.668881E+05  5.310263E+05  3.395550E+04  1.980737E+04  1.238433E+06  9.432083E+03
4.415997E-03  2.128202E+07  5.882534E+06  4.074083E+05  5.760864E+05  3.410432E+04  2.488693E+04  1.154938E+06  8.295645E+03
